potential,current,current_filtered_()Hz,current_filtered_50Hz
-158.25,-3.7561262157908526e-08,-3.632840830418587e-08,-3.632840830418594e-08
-158.75,-3.7115419361840024e-08,-3.598298685923025e-08,-3.598298685923034e-08
-159.25,-3.7190123858863966e-08,-3.6508952825821446e-08,-3.650895282582153e-08
-159.75,-3.709873005931338e-08,-3.6131111025421557e-08,-3.613111102542164e-08
-160.25,-3.7846569758244717e-08,-3.682070843961018e-08,-3.682070843961026e-08
-160.75,-3.6558314548927295e-08,-3.620837666661063e-08,-3.62083766666107e-08
-161.25,-3.7082835485478494e-08,-3.708835312995553e-08,-3.708835312995559e-08
-161.75,-3.6184792063807484e-08,-3.6332314731693e-08,-3.6332314731693025e-08
-162.25,-3.677686493915696e-08,-3.726739419349141e-08,-3.7267394193491414e-08
-162.75,-3.563483980912047e-08,-3.6529484842687607e-08,-3.652948484268758e-08
-163.25,-3.634373780215634e-08,-3.7408540726909084e-08,-3.740854072690901e-08
-163.75,-3.569762337576827e-08,-3.6781233305521206e-08,-3.678123330552112e-08
-164.25,-3.6525730672565785e-08,-3.74697195287519e-08,-3.746971952875179e-08
-164.75,-3.5955115471893404e-08,-3.706054165830333e-08,-3.706054165830321e-08
-165.25,-3.6417647570488574e-08,-3.755288681991357e-08,-3.755288681991347e-08
-165.75,-3.7043099050891286e-08,-3.726544087973725e-08,-3.726544087973716e-08
-166.25,-3.8081809451001024e-08,-3.7768669108870775e-08,-3.77686691088707e-08
-166.75,-3.750642587817819e-08,-3.737292599399034e-08,-3.7372925993990284e-08
-167.25,-3.832022805852429e-08,-3.801001442347822e-08,-3.801001442347819e-08
-167.75,-3.8491094727249314e-08,-3.752536132666734e-08,-3.7525361326667335e-08
-168.25,-3.9549673344652656e-08,-3.8135319135277094e-08,-3.813531913527713e-08
-168.75,-3.88034231031048e-08,-3.7772307763539207e-08,-3.777230776353928e-08
-169.25,-3.892660605032516e-08,-3.8181716338358216e-08,-3.818171633835834e-08
-169.75,-3.901799984987576e-08,-3.798761987981183e-08,-3.798761987981196e-08
-170.25,-3.920078744897694e-08,-3.8316449038202104e-08,-3.8316449038202236e-08
-170.75,-3.844261627705291e-08,-3.809092994102388e-08,-3.809092994102401e-08
-171.25,-3.8443411005744654e-08,-3.858162293321721e-08,-3.8581622933217325e-08
-171.75,-3.799200510883392e-08,-3.813063135292079e-08,-3.813063135292087e-08
-172.25,-3.8634145891763285e-08,-3.885451793923186e-08,-3.885451793923191e-08
-172.75,-3.7147208509509775e-08,-3.815366274401864e-08,-3.8153662744018657e-08
-173.25,-3.7600203863804e-08,-3.9065512522312905e-08,-3.906551252231288e-08
-173.75,-3.7271980914113634e-08,-3.826551570626149e-08,-3.8265515706261426e-08
-174.25,-3.856182558081456e-08,-3.920918065561927e-08,-3.9209180655619166e-08
-174.75,-3.732363827907701e-08,-3.852809565390753e-08,-3.85280956539074e-08
-175.25,-3.822724480159022e-08,-3.9225465720233235e-08,-3.922546572023311e-08
-175.75,-3.870408201663677e-08,-3.880603990874325e-08,-3.880603990874314e-08
-176.25,-3.934145442741568e-08,-3.922804499500402e-08,-3.922804499500394e-08
-176.75,-3.9161051014389715e-08,-3.8973667522742286e-08,-3.897366752274224e-08
-177.25,-3.975073970366395e-08,-3.9363733930143064e-08,-3.9363733930143005e-08
-177.75,-3.985484916228245e-08,-3.9096616992212236e-08,-3.909661699221219e-08
-178.25,-4.083554436789485e-08,-3.9552608873773054e-08,-3.9552608873773014e-08
-178.75,-4.053036855026506e-08,-3.917856809484778e-08,-3.917856809484775e-08
-179.25,-4.055182622494217e-08,-3.97485180804463e-08,-3.974851808044626e-08
-179.75,-3.989299613948617e-08,-3.9173465624958487e-08,-3.9173465624958467e-08
-180.25,-4.085541258518846e-08,-3.9981190293154245e-08,-3.9981190293154206e-08
-180.75,-3.972928202898685e-08,-3.925036485857408e-08,-3.9250364858574043e-08
-181.25,-4.022201381786829e-08,-4.010188216542286e-08,-4.010188216542281e-08
-181.75,-3.9143566983171335e-08,-3.947964854903032e-08,-3.947964854903026e-08
-182.25,-3.949404233623057e-08,-4.008604513528581e-08,-4.0086045135285757e-08
-182.75,-3.893534806593434e-08,-3.967438249666411e-08,-3.967438249666405e-08
-183.25,-3.889720108873062e-08,-4.018198021758384e-08,-4.018198021758375e-08
-183.75,-3.8630966976996295e-08,-3.976090293096965e-08,-3.976090293096954e-08
-184.25,-3.966808791972255e-08,-4.036370710782901e-08,-4.0363707107828895e-08
-184.75,-3.881931767693969e-08,-3.9907080796844816e-08,-3.99070807968447e-08
-185.25,-3.9433642955658e-08,-4.0406280414703686e-08,-4.0406280414703593e-08
-185.75,-3.992637474453944e-08,-4.0144636027870636e-08,-4.014463602787057e-08
-186.25,-4.048904265829436e-08,-4.036823071132358e-08,-4.036823071132355e-08
-186.75,-4.0520037077272384e-08,-4.034812822307325e-08,-4.034812822307323e-08
-187.25,-4.0810113049759036e-08,-4.0423030777327966e-08,-4.0423030777327966e-08
-187.75,-4.139423863819106e-08,-4.047344666117156e-08,-4.047344666117158e-08
-188.25,-4.178127151107052e-08,-4.056078972310323e-08,-4.056078972310327e-08
-188.75,-4.1649346548240966e-08,-4.052844837959767e-08,-4.0528448379597704e-08
-189.25,-4.1615967943187704e-08,-4.0744129388594565e-08,-4.0744129388594604e-08
-189.75,-4.144430654577096e-08,-4.051054692222967e-08,-4.0510546922229666e-08
-190.25,-4.1821802674349464e-08,-4.098153946288804e-08,-4.098153946288803e-08
-190.75,-4.081806033667648e-08,-4.048046468010126e-08,-4.048046468010122e-08
-191.25,-4.114151491421639e-08,-4.1192145976250185e-08,-4.1192145976250105e-08
-191.75,-4.030863924526841e-08,-4.054770903560883e-08,-4.054770903560878e-08
-192.25,-4.094283274128033e-08,-4.128098810109443e-08,-4.128098810109434e-08
-192.75,-3.984610714667326e-08,-4.072126906059446e-08,-4.072126906059442e-08
-193.25,-4.007896265335432e-08,-4.1280736839162244e-08,-4.12807368391622e-08
-193.75,-3.995021660529176e-08,-4.092409502070194e-08,-4.092409502070195e-08
-194.25,-4.0376191184066673e-08,-4.1275036265825537e-08,-4.1275036265825556e-08
-194.75,-4.000505288502211e-08,-4.1063931620524986e-08,-4.106393162052505e-08
-195.25,-4.039844358743552e-08,-4.1339240438186834e-08,-4.133924043818691e-08
-195.75,-4.0767197700404844e-08,-4.1101511764395545e-08,-4.110151176439563e-08
-196.25,-4.150073228288478e-08,-4.151822068674432e-08,-4.151822068674442e-08
-196.75,-4.1310792125557916e-08,-4.1110238998683184e-08,-4.111023899868328e-08
-197.25,-4.2290692602478567e-08,-4.168846264385905e-08,-4.168846264385912e-08
-197.75,-4.202445849074425e-08,-4.118761356209605e-08,-4.118761356209611e-08
-198.25,-4.292885974194921e-08,-4.171899255994696e-08,-4.171899255994696e-08
-198.75,-4.247586438765498e-08,-4.129570472498463e-08,-4.12957047249846e-08
-199.25,-4.2484606403264174e-08,-4.177855532642517e-08,-4.177855532642512e-08
-199.75,-4.228354004425288e-08,-4.133880590389597e-08,-4.1338805903895875e-08
-200.25,-4.302661137103377e-08,-4.1990789850476974e-08,-4.199078985047688e-08
-200.75,-4.1682725153294215e-08,-4.131035832237273e-08,-4.131035832237264e-08
-201.25,-4.209042097215903e-08,-4.2173755878134e-08,-4.217375587813392e-08
-201.75,-4.111052049523836e-08,-4.130318358890561e-08,-4.130318358890556e-08
-202.25,-4.179478189883016e-08,-4.22231165064238e-08,-4.2223116506423765e-08
-202.75,-4.045010095239888e-08,-4.1431532471385965e-08,-4.143153247138594e-08
-203.25,-4.105965785896673e-08,-4.2187099081120757e-08,-4.218709908112072e-08
-203.75,-4.064083583841752e-08,-4.168648115246756e-08,-4.168648115246753e-08
-204.25,-4.119635119394674e-08,-4.2093029082963315e-08,-4.209302908296323e-08
-204.75,-4.103502126952266e-08,-4.189387586349851e-08,-4.189387586349845e-08
-205.25,-4.102389506783824e-08,-4.206742385689668e-08,-4.206742385689661e-08
-205.75,-4.142205414240211e-08,-4.192707425862294e-08,-4.192707425862289e-08
-206.25,-4.233678686659974e-08,-4.222141528441674e-08,-4.222141528441667e-08
-206.75,-4.2189762058627054e-08,-4.186727532100393e-08,-4.1867275321003906e-08
-207.25,-4.283110811286467e-08,-4.238502189354649e-08,-4.238502189354647e-08
-207.75,-4.261891555216895e-08,-4.1892563721349986e-08,-4.189256372134999e-08
-208.25,-4.367113634003834e-08,-4.238293833165583e-08,-4.238293833165583e-08
-208.75,-4.324198284649643e-08,-4.2068135639517733e-08,-4.206813563951778e-08
-209.25,-4.31784045511569e-08,-4.2308678298057714e-08,-4.230867829805775e-08
-209.75,-4.3289666568001096e-08,-4.221960785399792e-08,-4.2219607853997974e-08
-210.25,-4.3189530752841316e-08,-4.230912050001652e-08,-4.230912050001659e-08
-210.75,-4.258315276104046e-08,-4.222511028153077e-08,-4.2225110281530833e-08
-211.25,-4.230658717631346e-08,-4.23942951718977e-08,-4.239429517189776e-08
-211.75,-4.192988577642668e-08,-4.220179482792896e-08,-4.2201794827928996e-08
-212.25,-4.212777322067101e-08,-4.2511586143184214e-08,-4.2511586143184234e-08
-212.75,-4.141887522763513e-08,-4.2211794444501604e-08,-4.221179444450161e-08
-213.25,-4.138867553734885e-08,-4.258884150878462e-08,-4.25888415087846e-08
-213.75,-4.111052049523836e-08,-4.221265890495549e-08,-4.22126589049555e-08
-214.25,-4.1724051045264915e-08,-4.260025647352485e-08,-4.260025647352482e-08
-214.75,-4.112085196823104e-08,-4.224771599765897e-08,-4.2247715997658944e-08
-215.25,-4.159292081112712e-08,-4.262975246067931e-08,-4.2629752460679295e-08
-215.75,-4.2059426553181e-08,-4.231688634746546e-08,-4.2316886347465466e-08
-216.25,-4.284382377193259e-08,-4.271475876174278e-08,-4.2714758761742776e-08
-216.75,-4.250606407794127e-08,-4.233572876264065e-08,-4.233572876264067e-08
-217.25,-4.326344052117354e-08,-4.274898897668664e-08,-4.2748988976686657e-08
-217.75,-4.318714656676609e-08,-4.2363079173148724e-08,-4.236307917314876e-08
-218.25,-4.379590874464219e-08,-4.273012906431888e-08,-4.273012906431894e-08
-218.75,-4.3642526107135536e-08,-4.245540773096364e-08,-4.245540773096372e-08
-219.25,-4.375458285267148e-08,-4.2746553753656206e-08,-4.2746553753656305e-08
-219.75,-4.344622812027472e-08,-4.253632193911864e-08,-4.253632193911876e-08
-220.25,-4.365365230881997e-08,-4.275482831872538e-08,-4.275482831872553e-08
-220.75,-4.3093368581140265e-08,-4.2598087845015414e-08,-4.259808784501556e-08
-221.25,-4.2680904390125005e-08,-4.2708793309592996e-08,-4.270879330959313e-08
-221.75,-4.234791306828416e-08,-4.2674197202716433e-08,-4.267419720271653e-08
-222.25,-4.2164330740491236e-08,-4.272597707115608e-08,-4.272597707115614e-08
-222.75,-4.194180670680285e-08,-4.265909100239432e-08,-4.2659091002394335e-08
-223.25,-4.179319244144668e-08,-4.2903117762005356e-08,-4.290311776200533e-08
-223.75,-4.1363244219213036e-08,-4.25133316217031e-08,-4.2513331621703087e-08
-224.25,-4.209518934430949e-08,-4.308761743170821e-08,-4.30876174317082e-08
-224.75,-4.1377549335664433e-08,-4.246231697775665e-08,-4.246231697775665e-08
-225.25,-4.24329490383008e-08,-4.307486703696779e-08,-4.307486703696783e-08
-225.75,-4.222552484975555e-08,-4.262602395146783e-08,-4.2626023951467906e-08
-226.25,-4.273494594116361e-08,-4.2907218325555894e-08,-4.290721832555596e-08
-226.75,-4.316489416339725e-08,-4.285009381825663e-08,-4.2850093818256707e-08
-227.25,-4.328171928108366e-08,-4.277802540318018e-08,-4.277802540318023e-08
-227.75,-4.375935122482195e-08,-4.298132949038265e-08,-4.298132949038269e-08
-228.25,-4.395405975429929e-08,-4.2772226075725215e-08,-4.277222607572524e-08
-228.75,-4.4190094175747337e-08,-4.295514579118015e-08,-4.295514579118018e-08
-229.25,-4.3678288898264036e-08,-4.292161949898778e-08,-4.292161949898781e-08
-229.75,-4.375537758136323e-08,-4.280053648698255e-08,-4.2800536486982566e-08
-230.25,-4.4188504718363845e-08,-4.314060818032455e-08,-4.3140608180324576e-08
-230.75,-4.297415927737863e-08,-4.272058580263531e-08,-4.2720585802635324e-08
-231.25,-4.3234035559579e-08,-4.319564586711234e-08,-4.319564586711232e-08
-231.75,-4.268328857620024e-08,-4.2814407219590826e-08,-4.281440721959081e-08
-232.25,-4.2506858806633015e-08,-4.3121941654176964e-08,-4.312194165417689e-08
-232.75,-4.206896329748194e-08,-4.287985942145475e-08,-4.2879859421454705e-08
-233.25,-4.208406314262507e-08,-4.317952393932916e-08,-4.317952393932908e-08
-233.75,-4.1685904068061204e-08,-4.282681147033442e-08,-4.282681147033436e-08
-234.25,-4.233837632398323e-08,-4.3295595893054245e-08,-4.329559589305418e-08
-234.75,-4.1827365775191684e-08,-4.283604205298911e-08,-4.283604205298908e-08
-235.25,-4.2533084853460566e-08,-4.3255973815805736e-08,-4.32559738158057e-08
-235.75,-4.251639555093393e-08,-4.2942380059810224e-08,-4.2942380059810224e-08
-236.25,-4.3001180052897936e-08,-4.320693956088553e-08,-4.320693956088555e-08
-236.75,-4.3346887033806684e-08,-4.297510540285688e-08,-4.297510540285693e-08
-237.25,-4.383405572184591e-08,-4.3284667255934224e-08,-4.328466725593432e-08
-237.75,-4.367113634003834e-08,-4.295802318984248e-08,-4.2958023189842607e-08
-238.25,-4.4613684568447024e-08,-4.331652155583493e-08,-4.331652155583513e-08
-238.75,-4.412015805087384e-08,-4.3014369597421125e-08,-4.3014369597421317e-08
-239.25,-4.403194316609023e-08,-4.3271990053786243e-08,-4.3271990053786455e-08
-239.75,-4.4195657276589544e-08,-4.307264090276097e-08,-4.307264090276119e-08
-240.25,-4.419645200528129e-08,-4.327435449878282e-08,-4.327435449878303e-08
-240.75,-4.332701881651308e-08,-4.310525913068479e-08,-4.3105259130684995e-08
-241.25,-4.3356423778107614e-08,-4.3279340753632036e-08,-4.327934075363223e-08
-241.75,-4.2982106564296064e-08,-4.316832770461754e-08,-4.316832770461767e-08
-242.25,-4.2617326094785463e-08,-4.327738741846608e-08,-4.32773874184662e-08
-242.75,-4.2488580046722896e-08,-4.3149074368895814e-08,-4.314907436889589e-08
-243.25,-4.232089229276486e-08,-4.3368811802996616e-08,-4.336881180299666e-08
-243.75,-4.1701003913204334e-08,-4.3064625557654026e-08,-4.306462555765404e-08
-244.25,-4.2555337256829414e-08,-4.3465736114778975e-08,-4.346573611477897e-08
-244.75,-4.223029322190602e-08,-4.311138860015585e-08,-4.3111388600155784e-08
-245.25,-4.253785322561104e-08,-4.343070186624531e-08,-4.3430701866245244e-08
-245.75,-4.2871639276143616e-08,-4.3225381746512315e-08,-4.322538174651221e-08
-246.25,-4.339933912746181e-08,-4.3358631328788216e-08,-4.3358631328788137e-08
-246.75,-4.34207968021389e-08,-4.327166937396742e-08,-4.3271669373967345e-08
-247.25,-4.374345665098707e-08,-4.335650900822026e-08,-4.335650900822022e-08
-247.75,-4.418453107490512e-08,-4.330824884088585e-08,-4.330824884088584e-08
-248.25,-4.463275805704888e-08,-4.337846886219397e-08,-4.3378468862193973e-08
-248.75,-4.455010627310748e-08,-4.333962348584203e-08,-4.333962348584207e-08
-249.25,-4.4302945649975016e-08,-4.339987894859788e-08,-4.339987894859796e-08
-249.75,-4.414082099685919e-08,-4.3298451888272205e-08,-4.329845188827226e-08
-250.25,-4.427592487445571e-08,-4.348906394239372e-08,-4.348906394239381e-08
-250.75,-4.3739483007528347e-08,-4.323837967827269e-08,-4.3238379678272794e-08
-251.25,-4.364808920797776e-08,-4.3584947729978224e-08,-4.358494772997835e-08
-251.75,-4.288832857867025e-08,-4.324301857753565e-08,-4.3243018577535755e-08
-252.25,-4.309813695329073e-08,-4.3575793601949406e-08,-4.357579360194949e-08
-252.75,-4.249255369018161e-08,-4.3303650961233936e-08,-4.330365096123401e-08
-253.25,-4.244407523998521e-08,-4.355107947209571e-08,-4.355107947209573e-08
-253.75,-4.2402749348014506e-08,-4.3321073234935184e-08,-4.332107323493516e-08
-254.25,-4.256248981505511e-08,-4.359338594479502e-08,-4.359338594479493e-08
-254.75,-4.2123004848520536e-08,-4.3292006027357374e-08,-4.329200602735724e-08
-255.25,-4.29161440828813e-08,-4.360528164237663e-08,-4.360528164237646e-08
-255.75,-4.294078067232537e-08,-4.333185480746977e-08,-4.3331854807469594e-08
-256.25,-4.334768176249843e-08,-4.356056124742314e-08,-4.356056124742296e-08
-256.75,-4.3670341611346585e-08,-4.3417569627660126e-08,-4.341756962765994e-08
-257.25,-4.4116979136106866e-08,-4.353917045542884e-08,-4.35391704554287e-08
-257.75,-4.4318840223809904e-08,-4.3492020284864886e-08,-4.349202028486476e-08
-258.25,-4.4682031235937027e-08,-4.348224941872597e-08,-4.348224941872587e-08
-258.75,-4.4713025654915045e-08,-4.359243951684416e-08,-4.359243951684409e-08
-259.25,-4.431009820820072e-08,-4.339282319293048e-08,-4.339282319293044e-08
-259.75,-4.470030999584713e-08,-4.366725142291413e-08,-4.366725142291414e-08
-260.25,-4.4189299447055584e-08,-4.340024767131247e-08,-4.340024767131253e-08
-260.75,-4.405657975553429e-08,-4.363610714075076e-08,-4.363610714075084e-08
-261.1875,-4.350662750084728e-08,-4.3480950228003457e-08,-4.348095022800358e-08
-261.6875,-4.319827276845051e-08,-4.357932657180983e-08,-4.3579326571809954e-08
-262.1875,-4.307032144907968e-08,-4.3550618334833105e-08,-4.355061833483324e-08
-262.6875,-4.2839055399782106e-08,-4.3520035765119154e-08,-4.3520035765119266e-08
-263.1875,-4.2408312448856727e-08,-4.36510157157948e-08,-4.365101571579489e-08
-263.6875,-4.225016143919962e-08,-4.3439965548403815e-08,-4.343996554840389e-08
-264.1875,-4.2984490750371314e-08,-4.3739420382331714e-08,-4.3739420382331734e-08
