potential,current,current_filtered_50Hz,basecurrent_4,basecurrent_3
-136.0625,-9.058317628500974e-09,-9.24825728631745e-09,-5.067388682084272e-10,-3.673903078841186e-08
-136.5625,-8.730094678810597e-09,-8.740376900004235e-09,-5.004228806535629e-10,-3.6632107651807375e-08
-137.0625,-1.026312632518526e-08,-9.394127388237289e-09,-4.940204702550732e-10,-3.652524100932817e-08
-137.5625,-1.0431608807835041e-08,-9.150899237038391e-09,-4.875317276408761e-10,-3.641843085084095e-08
-138.0625,-1.1041165714402881e-08,-9.394048477257731e-09,-4.809567434092814e-10,-3.631167716621243e-08
-138.5625,-1.2075902471053895e-08,-9.596139383311542e-09,-4.742956081289897e-10,-3.620497994530931e-08
-139.0625,-1.1786621227258988e-08,-9.638014622152962e-09,-4.675484123390931e-10,-3.6098339177998305e-08
-139.5625,-1.1626086031526648e-08,-9.77064633356978e-09,-4.6071524654907463e-10,-3.5991754854146115e-08
-140.0625,-1.1854967894748992e-08,-9.97133760932836e-09,-4.537962012388087e-10,-3.5885226963619455e-08
-140.5625,-1.0927519511483452e-08,-9.892719578670191e-09,-4.4679136685856094e-10,-3.577875549628502e-08
-141.0625,-1.0444324466902947e-08,-1.0207521583689756e-08,-4.3970083382898847e-10,-3.5672340442009525e-08
-141.5625,-1.000563422906012e-08,-1.0158460520647509e-08,-4.325246925411394e-10,-3.556598179065968e-08
-142.0625,-9.675821821986257e-09,-1.04824958736001e-08,-4.2526303335645283e-10,-3.545967953210219e-08
-142.5625,-9.144943055901096e-09,-1.0408542681944557e-08,-4.179159466067595e-10,-3.535343365620376e-08
-143.0625,-9.140174683750633e-09,-1.0734236466085879e-08,-4.104835225942813e-10,-3.524724415283109e-08
-143.5625,-8.33988289116417e-09,-1.0614698210629619e-08,-4.029658515916312e-10,-3.51411110118509e-08
-144.0625,-8.599759173364541e-09,-1.0890251366217149e-08,-3.953630238418136e-10,-3.503503422312989e-08
-144.5625,-9.113153908231329e-09,-1.0883387950593174e-08,-3.876751295582238e-10,-3.492901377653477e-08
-145.0625,-9.404819338101467e-09,-1.1110670196256576e-08,-3.7990225892464885e-10,-3.482304966193224e-08
-145.5625,-9.821257172575454e-09,-1.1139090361324809e-08,-3.7204450209526667e-10,-3.4717141869189014e-08
-146.0625,-1.0979176876446828e-08,-1.1368051182200216e-08,-3.6410194919464637e-10,-3.4611290388171805e-08
-146.5625,-1.1542639518893502e-08,-1.1395957687100659e-08,-3.5607469031774856e-10,-3.4505495208747305e-08
-147.0625,-1.2183190844439369e-08,-1.1535778418656066e-08,-3.479628155299248e-10,-3.4399756320782235e-08
-147.5625,-1.307726062265165e-08,-1.1704016012387311e-08,-3.397664148669182e-10,-3.429407371414329e-08
-148.0625,-1.3657412567624953e-08,-1.1750922306775483e-08,-3.314855783348627e-10,-3.418844737869719e-08
-148.5625,-1.4189880791093602e-08,-1.1900890192311704e-08,-3.2312039591028385e-10,-3.408287730431063e-08
-149.0625,-1.4242332884748725e-08,-1.212992256090392e-08,-3.146709575400984e-10,-3.397736348085032e-08
-149.5625,-1.3887883888230791e-08,-1.1957117379380752e-08,-3.0613735314161384e-10,-3.387190589818297e-08
-150.0625,-1.4217696295304653e-08,-1.2484995959127589e-08,-2.9751967260252967e-10,-3.376650454617529e-08
-150.5625,-1.3116997057238863e-08,-1.214647169414661e-08,-2.88818005780936e-10,-3.366115941469398e-08
-151.0625,-1.3253690392218874e-08,-1.2663651741295708e-08,-2.8003244250531447e-10,-3.355587049360575e-08
-151.5625,-1.2467703716083808e-08,-1.2513534707223526e-08,-2.711630725745378e-10,-3.345063777277731e-08
-152.0625,-1.1731784947528631e-08,-1.280884499719992e-08,-2.6220998575787017e-10,-3.334546124207536e-08
-152.5625,-1.1425019672515354e-08,-1.2811330537042358e-08,-2.531732717949667e-10,-3.324034089136661e-08
-153.0625,-1.1416277656906168e-08,-1.3050588099865042e-08,-2.44053020395874e-10,-3.313527671051777e-08
-153.5625,-1.0918777495874263e-08,-1.2999422469494884e-08,-2.3484932124102966e-10,-3.3030268689395554e-08
-154.0625,-1.1198521995368242e-08,-1.3308179401942022e-08,-2.2556226398126282e-10,-3.292531681786665e-08
-154.5625,-1.124302680210592e-08,-1.3202108293437906e-08,-2.1619193823779388e-10,-3.2820421085797784e-08
-155.0625,-1.1837483863530618e-08,-1.3568041065398586e-08,-2.067384336022336e-10,-3.271558148305565e-08
-155.5625,-1.2385846660834151e-08,-1.3435230144729156e-08,-1.9720183963658528e-10,-3.261079799950696e-08
-156.0625,-1.3422172874868655e-08,-1.3800377687014926e-08,-1.875822458732425e-10,-3.250607062501842e-08
-156.5625,-1.3635954892947858e-08,-1.3693911479967466e-08,-1.7787974181499051e-10,-3.240139934945674e-08
-157.0625,-1.4592808237807938e-08,-1.389638721246818e-08,-1.6809441693500573e-10,-3.2296784162688624e-08
-157.5625,-1.5381179100018234e-08,-1.4010077513761878e-08,-1.582263606768556e-10,-3.219222505458078e-08
-158.0625,-1.5681586545497554e-08,-1.401902313462486e-08,-1.4827566245449916e-10,-3.208772201499992e-08
-158.5625,-1.645088391910599e-08,-1.426621266204404e-08,-1.3824241165228636e-10,-3.198327503381274e-08
-159.0625,-1.6561351207258448e-08,-1.4359473251878703e-08,-1.2812669762495842e-10,-3.187888410088595e-08
-159.5625,-1.6461215392098672e-08,-1.4387044972313264e-08,-1.1792860969764815e-10,-3.177454920608627e-08
-160.0625,-1.663446624689892e-08,-1.4713200025119558e-08,-1.07648237165879e-10,-3.167027033928039e-08
-160.5625,-1.55727087147286e-08,-1.4470708761802676e-08,-9.728566929556621e-11,-3.156604749033503e-08
-161.0625,-1.5287401114392414e-08,-1.4983920701579835e-08,-8.684099532301606e-11,-3.1461880649116885e-08
-161.5625,-1.4461678003670135e-08,-1.4566916610561019e-08,-7.63143044549257e-11,-3.1357769805492676e-08
-162.0625,-1.4481546220963744e-08,-1.534203251224561e-08,-6.570568586838412e-11,-3.1253714949329094e-08
-162.5625,-1.3221901244549105e-08,-1.467344321060945e-08,-5.501522871087121e-11,-3.114971607049286e-08
-163.0625,-1.4034908696203473e-08,-1.5646423780411357e-08,-4.424302210025806e-11,-3.1045773158850676e-08
-163.5625,-1.2710095967065807e-08,-1.4909775673190218e-08,-3.338915512480717e-11,-3.0941886204269245e-08
-164.0625,-1.3582708070600995e-08,-1.5705074844425268e-08,-2.245371684317209e-11,-3.083805519661528e-08
-164.5625,-1.3519129775261455e-08,-1.529166719238318e-08,-1.1436796284397776e-11,-3.073428012575549e-08
-165.0625,-1.3926825594126257e-08,-1.573423169214963e-08,-3.3848244792022584e-13,-3.063056098155657e-08
-165.5625,-1.4384589320570942e-08,-1.5630988789540618e-08,1.0841135696433061e-11,-3.052689775388524e-08
-166.0625,-1.5498004217704642e-08,-1.587448775111434e-08,2.210196920844352e-11,-3.04232904326082e-08
-166.5625,-1.6048751201083405e-08,-1.5937197235937175e-08,3.344392917750151e-11,-3.031973900759216e-08
-167.0625,-1.6613008572221823e-08,-1.5959536066448315e-08,4.4866926722605814e-11,-3.021624346870383e-08
-167.5625,-1.756032517278097e-08,-1.6309531297646763e-08,5.637087299236426e-11,-3.0112803805809905e-08
-168.0625,-1.7886958665087858e-08,-1.6044314969087088e-08,6.795567916499315e-11,-3.0009420008777103e-08
-168.5625,-1.8884343173226886e-08,-1.653779883925729e-08,7.962125644831785e-11,-2.9906092067472136e-08
-169.0625,-1.8323264716855447e-08,-1.6370281132108864e-08,9.13675160797728e-11,-2.9802819971761696e-08
-169.5625,-1.8483005183896047e-08,-1.6497497940600248e-08,1.031943693264002e-10,-2.9699603711512497e-08
-170.0625,-1.874764983824688e-08,-1.6828917888026918e-08,1.1510172748485198e-10,-2.9596443276591245e-08
-170.5625,-1.7462573543696428e-08,-1.652722546036629e-08,1.2708950188138815e-10,-2.9493338656864654e-08
-171.0625,-1.7666024088782958e-08,-1.7115533678359117e-08,1.391576038718781e-10,-2.9390289842199426e-08
-171.5625,-1.6826790590301028e-08,-1.6769059141507698e-08,1.513059448417993e-10,-2.9287296822462263e-08
-172.0625,-1.6365847949089363e-08,-1.7262737293939858e-08,1.6353443620623888e-10,-2.9184359587519877e-08
-172.5625,-1.559575584678918e-08,-1.6983837268280516e-08,1.7584298940989182e-10,-2.9081478127238978e-08
-173.0625,-1.5594166389405693e-08,-1.7426866737119932e-08,1.8823151592706242e-10,-2.897865243148627e-08
-173.5625,-1.4908315528430406e-08,-1.718977645986159e-08,2.006999272616638e-10,-2.8875882490128457e-08
-174.0625,-1.5604497862398368e-08,-1.7567344059743952e-08,2.1324813494721712e-10,-2.877316829303225e-08
-174.5625,-1.5699865305407687e-08,-1.7501384467751796e-08,2.258760505468533e-10,-2.8670509830064357e-08
-175.0625,-1.586198995852351e-08,-1.7713887079515383e-08,2.3858358565331155e-10,-2.856790709109148e-08
-175.5625,-1.6671023766719154e-08,-1.772792461012896e-08,2.5137065188893944e-10,-2.846536006598033e-08
-176.0625,-1.75356885833369e-08,-1.79522871126964e-08,2.642371609056942e-10,-2.8362868744597618e-08
-176.5625,-1.7797949051612502e-08,-1.780636649372647e-08,2.7718302438514114e-10,-2.826043311681004e-08
-177.0625,-1.896381604240132e-08,-1.8171110907963508e-08,2.902081540384545e-10,-2.815805317248431e-08
-177.5625,-1.9252302557504483e-08,-1.7955516294643114e-08,3.033124616064177e-10,-2.805572890148714e-08
-178.0625,-2.0019215745037685e-08,-1.8355299301707667e-08,3.16495858859422e-10,-2.7953460293685226e-08
-178.5625,-2.0390354044082248e-08,-1.820157962165833e-08,3.297582575974684e-10,-2.785124733894528e-08
-179.0625,-2.0819507537624145e-08,-1.8572756820669307e-08,3.430995696501658e-10,-2.7749090027134014e-08
-179.5625,-2.040148024576667e-08,-1.8416984709260908e-08,3.565197068767329e-10,-2.764698834811813e-08
-180.0625,-2.0501616060926442e-08,-1.8692715662339384e-08,3.7001858116599613e-10,-2.754494229176433e-08
-180.5625,-1.9731523958626263e-08,-1.865623379463721e-08,3.835961044363913e-10,-2.7442951847939336e-08
-181.0625,-1.90226259655904e-08,-1.875939482262797e-08,3.9725218863596287e-10,-2.7341017006509837e-08
-181.5625,-1.8815996505736886e-08,-1.892550060254743e-08,4.1098674574236386e-10,-2.723913775734255e-08
-182.0625,-1.8246176033756255e-08,-1.9017544768371048e-08,4.2479968776285667e-10,-2.713731409030419e-08
-182.5625,-1.7829738199282266e-08,-1.9067103687086268e-08,4.3869092673431133e-10,-2.7035545995261445e-08
-183.0625,-1.7718476182438075e-08,-1.9340555023904456e-08,4.526603747232079e-10,-2.6933833462081035e-08
-183.5625,-1.6995273072950807e-08,-1.916581347114375e-08,4.667079438256345e-10,-2.6832176480629667e-08
-184.0625,-1.7313959278340253e-08,-1.9486686180145717e-08,4.808335461672878e-10,-2.6730575040774042e-08
-184.5625,-1.7320317107874206e-08,-1.942250905255228e-08,4.95037093903474e-10,-2.662902913238087e-08
-185.0625,-1.783291711404925e-08,-1.9578244839114943e-08,5.093184992191074e-10,-2.6527538745316863e-08
-185.5625,-1.8771491698999207e-08,-1.9722338257201625e-08,5.236776743287116e-10,-2.642610386944872e-08
-186.0625,-1.915772984318692e-08,-1.9739248795198867e-08,5.381145314764182e-10,-2.6324724494643148e-08
-186.5625,-1.9850733262387905e-08,-1.9962305866740325e-08,5.526289829359686e-10,-2.6223400610766862e-08
-187.0625,-2.083540211145903e-08,-1.9898365935250785e-08,5.672209410107117e-10,-2.6122132207686566e-08
-187.5625,-2.1709603672377698e-08,-2.020999753545094e-08,5.818903180336067e-10,-2.602091927526896e-08
-188.0625,-2.1755697936498872e-08,-2.008961855945869e-08,5.966370263672207e-10,-2.5919761803380763e-08
-188.5625,-2.2620362753116617e-08,-2.032997882852935e-08,6.114609784037288e-10,-2.581865978188867e-08
-189.0625,-2.2581421047221148e-08,-2.0410455604335987e-08,6.263620865649161e-10,-2.5717613200659397e-08
-189.5625,-2.204736336636901e-08,-2.0330335066300146e-08,6.413402633021762e-10,-2.5616622049559645e-08
-190.0625,-2.245585391392556e-08,-2.0757189255837864e-08,6.563954210965112e-10,-2.551568631845613e-08
-190.5625,-2.1634899175353746e-08,-2.045205340892985e-08,6.715274724585323e-10,-2.5414805997215545e-08
-191.0625,-2.156655250786374e-08,-2.1012971995660473e-08,6.86736329928459e-10,-2.5313981075704613e-08
-191.5625,-2.0681224745260645e-08,-2.0627913366301082e-08,7.020219060761197e-10,-2.5213211543790027e-08
-192.0625,-2.0375254198939108e-08,-2.1223561973418817e-08,7.17384113500952e-10,-2.5112497391338502e-08
-192.5625,-1.9245149999278784e-08,-2.0774152507180595e-08,7.328228648320017e-10,-2.5011838608216743e-08
-193.0625,-1.9712450470024402e-08,-2.1379880932578773e-08,7.483380727279237e-10,-2.491123518429146e-08
-193.5625,-1.8871627514158987e-08,-2.1070573150198384e-08,7.639296498769816e-10,-2.4810687109429354e-08
-194.0625,-1.9230050154135638e-08,-2.1443487131922124e-08,7.795975089970476e-10,-2.4710194373497136e-08
-194.5625,-1.971165574133266e-08,-2.142588020242309e-08,7.953415628356027e-10,-2.4609756966361515e-08
-195.0625,-1.978079713751441e-08,-2.1541908555348624e-08,8.111617241697378e-10,-2.450937487788919e-08
-195.5625,-2.0295781329764678e-08,-2.1639639515247536e-08,8.270579058061501e-10,-2.440904809794688e-08
-196.0625,-2.1309060411738605e-08,-2.1724697842443693e-08,8.430300205811479e-10,-2.4308776616401282e-08
-196.5625,-2.2000474373556105e-08,-2.1852933641197723e-08,8.590779813606468e-10,-2.4208560423119107e-08
-197.0625,-2.2674404304155226e-08,-2.1884164889216457e-08,8.752017010401722e-10,-2.4108399507967063e-08
-197.5625,-2.3515227260020644e-08,-2.2090589839794145e-08,8.914010925448578e-10,-2.4008293860811854e-08
-198.0625,-2.3665430982760308e-08,-2.2073316767251883e-08,9.076760688294455e-10,-2.390824347152019e-08
-198.5625,-2.4308366494381407e-08,-2.223626963588216e-08,9.24026542878288e-10,-2.3808248329958776e-08
-199.0625,-2.4699373010719577e-08,-2.2331559136354248e-08,9.404524277053434e-10,-2.370830842599432e-08
-199.5625,-2.4296445564005243e-08,-2.2393095154282586e-08,9.569536363541816e-10,-2.360842374949353e-08
-200.0625,-2.4158957500333492e-08,-2.2534389016851555e-08,9.7353008189798e-10,-2.3508594290323112e-08
-200.5625,-2.3898286489441367e-08,-2.259704676305676e-08,9.901816774395249e-10,-2.3408820038349774e-08
-201.0625,-2.3219588186691785e-08,-2.272477378647128e-08,1.0069083361112106e-09,-2.330910098344022e-08
-201.5625,-2.2634667869568008e-08,-2.2703209318873043e-08,1.0237099710750426e-09,-2.3209437115461162e-08
-202.0625,-2.2214256391635303e-08,-2.302460096890356e-08,1.0405864955226322e-09,-2.31098284242793e-08
-202.5625,-2.1185877464518244e-08,-2.2778077360416816e-08,1.057537822675201e-09,-2.3010274899761354e-08
-203.0625,-2.161105731460142e-08,-2.330122365514856e-08,1.0745638657835793e-09,-2.2910776531774015e-08
-203.5625,-2.1022958082710672e-08,-2.296660328393781e-08,1.091664538128206e-09,-2.2811333310184e-08
-204.0625,-2.116839343329987e-08,-2.3440615020625094e-08,1.1088397530191286e-09,-2.2711945224858012e-08
-204.5625,-2.1169188161991616e-08,-2.3218005189254512e-08,1.1260894237960035e-09,-2.261261226566276e-08
-205.0625,-2.204974755244425e-08,-2.3559799909809146e-08,1.143413463828096e-09,-2.251333442246495e-08
-205.5625,-2.2357307556149268e-08,-2.3488016507036344e-08,1.1608117865142807e-09,-2.2414111685131295e-08
-206.0625,-2.302885330067316e-08,-2.3672128700978814e-08,1.1782843052830395e-09,-2.231494404352849e-08
-206.5625,-2.39221283501937e-08,-2.3797035115128962e-08,1.1958309335924646e-09,-2.2215831487523254e-08
-207.0625,-2.466599440566632e-08,-2.3710298578506345e-08,1.2134515849302553e-09,-2.2116774006982287e-08
-207.5625,-2.542337084889859e-08,-2.409792644353741e-08,1.2311461728137212e-09,-2.2017771591772298e-08
-208.0625,-2.527714076961765e-08,-2.3818028050776393e-08,1.2489146107897795e-09,-2.1918824231759993e-08
-208.5625,-2.6412013341428445e-08,-2.4307200698981545e-08,1.2667568124349585e-09,-2.181993191681208e-08
-209.0625,-2.6423934271804602e-08,-2.4095508483524458e-08,1.2846726913553915e-09,-2.172109463679527e-08
-209.5625,-2.6453339233399145e-08,-2.441664711989027e-08,1.3026621611868245e-09,-2.1622312381576266e-08
-210.0625,-2.602736465462421e-08,-2.4363942616787595e-08,1.3207251355946084e-09,-2.152358514102177e-08
-210.5625,-2.5568011470796044e-08,-2.4510608119881884e-08,1.3388615282737066e-09,-2.1424912904998496e-08
-211.0625,-2.5100711000050423e-08,-2.4607738991287244e-08,1.3570712529486879e-09,-2.132629566337315e-08
-211.5625,-2.4663610219591088e-08,-2.4638909886760275e-08,1.3753542233737326e-09,-2.1227733406012443e-08
-212.0625,-2.4107300135370107e-08,-2.4922190933578066e-08,1.3937103533326284e-09,-2.1129226122783073e-08
-212.5625,-2.33205187305433e-08,-2.478674300063819e-08,1.4121395566387722e-09,-2.1030773803551754e-08
-213.0625,-2.356450043890879e-08,-2.512772900941707e-08,1.4306417471351686e-09,-2.0932376438185188e-08
-213.5625,-2.2916796555137218e-08,-2.502224399333165e-08,1.4492168386944326e-09,-2.0834034016550085e-08
-214.0625,-2.2811892367826984e-08,-2.51613807309171e-08,1.4678647452187869e-09,-2.073574652851315e-08
-214.5625,-2.333800276176168e-08,-2.5326732677773933e-08,1.486585380640064e-09,-2.0637513963941093e-08
-215.0625,-2.3636026021165768e-08,-2.5310890666280933e-08,1.5053786589197024e-09,-2.0539336312700623e-08
-215.5625,-2.4573805877423983e-08,-2.5527539641530248e-08,1.5242444940487545e-09,-2.0441213564658446e-08
-216.0625,-2.518574697006706e-08,-2.559848049778833e-08,1.5431828000478757e-09,-2.0343145709681263e-08
-216.5625,-2.5559269455186857e-08,-2.564773817342628e-08,1.5621934909673335e-09,-2.0245132737635783e-08
-217.0625,-2.6552680319867173e-08,-2.574595567086635e-08,1.5812764808870046e-09,-2.014717463838872e-08
-217.5625,-2.7274293971970956e-08,-2.5894299782100096e-08,1.6004316839163725e-09,-2.004927140180677e-08
-218.0625,-2.7461849943222594e-08,-2.5793125817562317e-08,1.6196590141945296e-09,-1.9951423017756653e-08
-218.5,-2.8305057085163246e-08,-2.6202649179825816e-08,1.6389583858901793e-09,-1.9853629476105068e-08
-219.0,-2.806266483418125e-08,-2.5957927484601512e-08,1.658329713201631e-09,-1.975589076671872e-08
-219.5,-2.8355919721434885e-08,-2.6376315847283254e-08,1.6777729103568054e-09,-1.965820687946432e-08
-220.0,-2.7949813359953565e-08,-2.6218421129913078e-08,1.6972878916132294e-09,-1.9560577804208576e-08
-220.5,-2.7692321263828426e-08,-2.6431836298957144e-08,1.716874571258041e-09,-1.9463003530818192e-08
-221.0,-2.70668697834257e-08,-2.6524871752156743e-08,1.7365328636079843e-09,-1.936548404915988e-08
-221.5,-2.624670977354564e-08,-2.6458702518034643e-08,1.7562626830094167e-09,-1.9268019349100345e-08
-222.0,-2.6019417367706783e-08,-2.6915242588204253e-08,1.7760639438382983e-09,-1.917060942050629e-08
-222.5,-2.527157766877544e-08,-2.6508246792795668e-08,1.7959365605002034e-09,-1.907325425324442e-08
-223.0,-2.5660199999038376e-08,-2.7190835929831558e-08,1.8158804474303116e-09,-1.897595383718145e-08
-223.5,-2.437750789056316e-08,-2.670276667023664e-08,1.8358955190934133e-09,-1.8878708162184084e-08
-224.0,-2.5010111929191582e-08,-2.7237872634541803e-08,1.855981689983905e-09,-1.8781517218119035e-08
-224.5,-2.5199257357826708e-08,-2.702578402824359e-08,1.8761388746257965e-09,-1.8684380994853e-08
-225.0,-2.5531453950975812e-08,-2.736339729628949e-08,1.896366987572702e-09,-1.858729948225269e-08
-225.5,-2.618074729213086e-08,-2.721738570315144e-08,1.9166659434078467e-09,-1.849027267018481e-08
-226.0,-2.7257604669444322e-08,-2.7643472065129703e-08,1.9370356567440627e-09,-1.8393300548516068e-08
