potential,current,current_filtered_50Hz
-150.5,-6.045660103836867e-08,-5.9575106393798306e-08
-151.0,-6.11217889533586e-08,-6.021895566048011e-08
-151.5,-6.107489996054571e-08,-5.987508117303633e-08
-152.0,-6.192525966071204e-08,-6.047250862015155e-08
-152.5,-6.139597035201038e-08,-6.006750250120419e-08
-153.0,-6.158829469541246e-08,-6.081787168733467e-08
-153.5,-6.084204445386463e-08,-6.023010522950186e-08
-154.0,-6.176949283713018e-08,-6.11923354946091e-08
-154.5,-6.027619762534272e-08,-6.042940025352551e-08
-155.0,-6.076733995684067e-08,-6.14273323241883e-08
-155.5,-5.996545870687071e-08,-6.069447586547521e-08
-156.0,-6.06584621260717e-08,-6.157957674497515e-08
-156.5,-5.973816630103188e-08,-6.100513551872602e-08
-157.0,-6.046216413921089e-08,-6.175643920271268e-08
-157.5,-6.029129747048588e-08,-6.130166773315168e-08
-158.0,-6.110112600737326e-08,-6.193688488776766e-08
-158.5,-6.076018739861496e-08,-6.151583414597862e-08
-159.0,-6.157637376503633e-08,-6.214879947634787e-08
-159.5,-6.174247206161085e-08,-6.16993996797975e-08
-160.0,-6.304423765868795e-08,-6.238819704213202e-08
-160.5,-6.267150990225989e-08,-6.191098978474203e-08
-161.0,-6.351392231550879e-08,-6.260503393171802e-08
-161.5,-6.341060758558204e-08,-6.208097289507807e-08
-162.0,-6.423633069630432e-08,-6.28240463902407e-08
-162.5,-6.340107084128113e-08,-6.218513548891133e-08
-163.0,-6.391367084745615e-08,-6.305606488654983e-08
-163.5,-6.283601874145096e-08,-6.237824271932213e-08
-164.0,-6.373883053527242e-08,-6.319223503527332e-08
-164.5,-6.283522401275921e-08,-6.268203378348133e-08
-165.0,-6.250859052045232e-08,-6.324600499794078e-08
-165.5,-6.196896973875798e-08,-6.287716238300643e-08
-166.0,-6.258329501747628e-08,-6.344958211254423e-08
-166.5,-6.185770772191377e-08,-6.287403773541199e-08
-167.0,-6.234487640995301e-08,-6.382036959682819e-08
-167.5,-6.154140570259957e-08,-6.28404153219741e-08
-168.0,-6.35767058821566e-08,-6.40978236924354e-08
-168.5,-6.224156168002626e-08,-6.294670132581e-08
-169.0,-6.347100696615461e-08,-6.41891331768631e-08
-169.5,-6.327788789406075e-08,-6.315751557237192e-08
-170.0,-6.48752925644667e-08,-6.421597132262744e-08
-170.5,-6.407341131449675e-08,-6.339983413436672e-08
-171.0,-6.525199396435348e-08,-6.424378208535308e-08
-171.5,-6.494363923195671e-08,-6.36236494206816e-08
-172.0,-6.555001722375758e-08,-6.433665658286504e-08
-172.5,-6.507000109394403e-08,-6.374795290320037e-08
-173.0,-6.554763303768233e-08,-6.450594893692667e-08
-173.5,-6.43022931777191e-08,-6.380513304356211e-08
-174.0,-6.503105938804858e-08,-6.462466470396981e-08
-174.5,-6.388744480062861e-08,-6.395417083036282e-08
-175.0,-6.394228108035895e-08,-6.466491140065177e-08
-175.5,-6.342014432988298e-08,-6.418858943208822e-08
-176.0,-6.396055984026907e-08,-6.469809324113856e-08
-176.5,-6.313642618693029e-08,-6.434116581386074e-08
-177.0,-6.32445092890075e-08,-6.481026300562574e-08
-177.5,-6.327788789406075e-08,-6.434287028055043e-08
-178.0,-6.425063581275573e-08,-6.506562449546215e-08
-178.5,-6.349643828429044e-08,-6.427371345177384e-08
-179.0,-6.493966558849798e-08,-6.530339778708785e-08
-179.5,-6.435951364352469e-08,-6.433990828989496e-08
-180.0,-6.596645505823156e-08,-6.52946441467473e-08
-180.5,-6.538948202802522e-08,-6.461771775355935e-08
-181.0,-6.598711800421691e-08,-6.51440035902331e-08
-181.5,-6.631454622521554e-08,-6.488137291633128e-08
-182.0,-6.651958622768555e-08,-6.507584066848177e-08
-182.5,-6.606897505946658e-08,-6.498437703932916e-08
-183.0,-6.595373939916363e-08,-6.512284723666579e-08
-183.5,-6.572883117940003e-08,-6.506431715085129e-08
-184.0,-6.565333195368433e-08,-6.519475301738354e-08
-184.5,-6.520272078546532e-08,-6.515547181306481e-08
-185.0,-6.465992108900401e-08,-6.522990637263576e-08
-185.5,-6.423633069630432e-08,-6.516025829246239e-08
-186.0,-6.429037224734293e-08,-6.530858180706177e-08
-186.5,-6.395340728204337e-08,-6.51119683824625e-08
-187.0,-6.404400635290222e-08,-6.549569352452768e-08
-187.5,-6.391764449091487e-08,-6.509515596185043e-08
-188.0,-6.509066403992941e-08,-6.564251719586738e-08
-188.5,-6.438017658951004e-08,-6.510575730176305e-08
-189.0,-6.490151861129426e-08,-6.568096934665603e-08
-189.5,-6.520351551415707e-08,-6.510473869689887e-08
-190.0,-6.647667087833137e-08,-6.576659104850695e-08
-190.5,-6.581863552156713e-08,-6.509766837853244e-08
-191.0,-6.678582033941987e-08,-6.59167836170811e-08
-191.5,-6.639719800915693e-08,-6.5153023884384e-08
-192.0,-6.753683895311821e-08,-6.595453709283762e-08
-192.5,-6.657521723610767e-08,-6.531259226074948e-08
-193.0,-6.664356390359766e-08,-6.583430721119484e-08
-193.5,-6.605466994301517e-08,-6.549573005214764e-08
-194.0,-6.608328017591796e-08,-6.574598105493908e-08
-194.5,-6.565094776760909e-08,-6.560262940537484e-08
-195.0,-6.518205783947997e-08,-6.58381258711119e-08
-195.5,-6.475528853201332e-08,-6.558914467862539e-08
-196.0,-6.532351954661046e-08,-6.601576867208853e-08
-196.5,-6.438176604689353e-08,-6.549997307897753e-08
-197.0,-6.453673814178366e-08,-6.60997403896154e-08
-197.5,-6.418546806003267e-08,-6.546230739909586e-08
-198.0,-6.542683427653721e-08,-6.611197256153343e-08
-198.5,-6.474018868687018e-08,-6.551201870613373e-08
-199.0,-6.545067613728952e-08,-6.617181603168344e-08
-199.5,-6.583135118063504e-08,-6.552394906585391e-08
-200.0,-6.711165910303503e-08,-6.622388078778875e-08
-200.5,-6.612381133919692e-08,-6.548914252843585e-08
-201.0,-6.708225414144049e-08,-6.61584215406485e-08
-201.5,-6.683588824699976e-08,-6.553493401680072e-08
-202.0,-6.732544112111422e-08,-6.60381888856362e-08
-202.5,-6.683429878961627e-08,-6.561379956564063e-08
-203.0,-6.688834034065489e-08,-6.596289632854871e-08
-203.5,-6.622871552650716e-08,-6.56278196059742e-08
-204.0,-6.634236172942659e-08,-6.590102535199361e-08
-204.5,-6.56350531937742e-08,-6.564572298731517e-08
-205.0,-6.516854745172032e-08,-6.578714289018342e-08
-205.5,-6.487290837839148e-08,-6.568694193037985e-08
-206.0,-6.488721349484286e-08,-6.568918067536392e-08
-206.5,-6.446998093167714e-08,-6.562175534884217e-08
-207.0,-6.401380666261593e-08,-6.571676955777173e-08
-207.5,-6.431024046463653e-08,-6.546426626556536e-08
-208.0,-6.532749319006918e-08,-6.578337204509655e-08
-208.5,-6.455581163038549e-08,-6.536018128929594e-08
-209.0,-6.509066403992941e-08,-6.570453339162288e-08
-209.5,-6.550153877356117e-08,-6.533877906830322e-08
-210.0,-6.602764916749588e-08,-6.554195993015291e-08
-210.5,-6.603082808226284e-08,-6.534176769929672e-08
-211.0,-6.651004948338463e-08,-6.544608371290173e-08
-211.5,-6.654899118928009e-08,-6.531476708018452e-08
-212.0,-6.664833227574812e-08,-6.540910653182304e-08
-212.5,-6.658475398040857e-08,-6.520211845533427e-08
-213.0,-6.644806064542858e-08,-6.539804770088818e-08
-213.5,-6.555796451067501e-08,-6.504161795698526e-08
-214.0,-6.572724172201654e-08,-6.536919137058742e-08
-214.5,-6.491900264251263e-08,-6.492939650802645e-08
-215.0,-6.475210961724634e-08,-6.531026823000097e-08
-215.5,-6.403844325206e-08,-6.48362324068333e-08
-216.0,-6.429990899164388e-08,-6.528254219639848e-08
-216.5,-6.348054371045554e-08,-6.467360703732656e-08
-217.0,-6.395340728204337e-08,-6.529457878054217e-08
-217.5,-6.330252448350482e-08,-6.447555427614878e-08
-218.0,-6.450177007934691e-08,-6.52482850680222e-08
-218.5,-6.366809968170718e-08,-6.436791883959254e-08
-219.0,-6.450335953673038e-08,-6.511108213988761e-08
-219.5,-6.432136666632097e-08,-6.439381954215463e-08
-220.0,-6.56708159849027e-08,-6.490123181657328e-08
-220.5,-6.541570807485279e-08,-6.442391647685037e-08
-221.0,-6.537915055503256e-08,-6.47023099264105e-08
-221.5,-6.538709784195e-08,-6.433040847179846e-08
-222.0,-6.61126851375125e-08,-6.460497503995304e-08
-222.5,-6.552776482038873e-08,-6.421729002284598e-08
-223.0,-6.541809226092802e-08,-6.449283675222231e-08
-223.5,-6.479343550921704e-08,-6.420808139665398e-08
-224.0,-6.478071985014912e-08,-6.427380442865264e-08
-224.5,-6.428719333257597e-08,-6.420840883350189e-08
-225.0,-6.32985508400461e-08,-6.407881001018679e-08
-225.5,-6.323894618816529e-08,-6.40837085707321e-08
-226.0,-6.321907797087169e-08,-6.402761034223299e-08
-226.5,-6.258170556009281e-08,-6.388644473636244e-08
-227.0,-6.251971672213673e-08,-6.403537011179958e-08
-227.5,-6.266038370057548e-08,-6.368721244156337e-08
-228.0,-6.335895022061867e-08,-6.40299257228083e-08
-228.5,-6.274462494190037e-08,-6.346317474384626e-08
-229.0,-6.346544386531238e-08,-6.400728719579987e-08
-229.5,-6.328186153751947e-08,-6.327273793881482e-08
-230.0,-6.448269659074504e-08,-6.391964157741167e-08
-230.5,-6.389539208754604e-08,-6.318412880341617e-08
-231.0,-6.475131488855459e-08,-6.374792277747692e-08
-231.5,-6.440958155110455e-08,-6.31325647817425e-08
-232.0,-6.479105132314181e-08,-6.358955929254545e-08
-232.5,-6.428639860388421e-08,-6.306114472313204e-08
-233.0,-6.458203767721308e-08,-6.345909885848108e-08
-233.5,-6.364107890618787e-08,-6.303482236678019e-08
-234.0,-6.360134247160068e-08,-6.322100736012574e-08
-234.5,-6.307284789159074e-08,-6.307231653429129e-08
-235.0,-6.225109842432718e-08,-6.294656613442913e-08
-235.5,-6.218593067160416e-08,-6.306806147650667e-08
-236.0,-6.193082276155425e-08,-6.283450347151713e-08
-236.5,-6.191333873033588e-08,-6.292553705591915e-08
-237.0,-6.148339050810224e-08,-6.284340467115185e-08
-237.5,-6.138166523555898e-08,-6.269012469914675e-08
-238.0,-6.200870617334519e-08,-6.282898497698014e-08
-238.5,-6.180446089956691e-08,-6.248796611436723e-08
-239.0,-6.221295144712346e-08,-6.278419712696366e-08
-239.5,-6.239256013145766e-08,-6.238837639129058e-08
-240.0,-6.332954525902412e-08,-6.269143021813363e-08
-240.5,-6.311417378356143e-08,-6.237004376222567e-08
-241.0,-6.353140634672719e-08,-6.252584178720817e-08
-241.5,-6.370465720152742e-08,-6.230467866011134e-08
-242.0,-6.365061565048881e-08,-6.240259152494256e-08
-242.5,-6.330729285565529e-08,-6.215326325071114e-08
-243.0,-6.334146618940031e-08,-6.23565815411923e-08
-243.5,-6.256263207149093e-08,-6.207783777136399e-08
-244.0,-6.2655615328425e-08,-6.221620969356221e-08
-244.5,-6.222248819142439e-08,-6.21072732106457e-08
-245.0,-6.13498760878892e-08,-6.199272982718097e-08
-245.5,-6.120523546599175e-08,-6.20757121547248e-08
-246.0,-6.09095963926629e-08,-6.190887970594461e-08
-246.5,-6.078641344544253e-08,-6.19360875343676e-08
-247.0,-6.070217220411763e-08,-6.195306404695137e-08
-247.5,-6.058773127250646e-08,-6.174001943138291e-08
-248.0,-6.106854213101172e-08,-6.196119998461502e-08
-248.5,-6.081422894965358e-08,-6.154899171182543e-08
-249.0,-6.138325469294247e-08,-6.192203622405062e-08
-249.5,-6.141107019715349e-08,-6.145613782283597e-08
-250.0,-6.254276385419732e-08,-6.181870801051446e-08
-250.5,-6.232262400658418e-08,-6.144421034476853e-08
-251.0,-6.244660168249628e-08,-6.165592625033683e-08
-251.4375,-6.258647393224325e-08,-6.138676507670843e-08
-251.9375,-6.297112261904747e-08,-6.157289913037598e-08
-252.4375,-6.249825904745965e-08,-6.126461876826681e-08
-252.9375,-6.251335889260278e-08,-6.155553780553233e-08
-253.4375,-6.182273965947704e-08,-6.117570866534625e-08
-253.9375,-6.187916539659088e-08,-6.143314018736748e-08
-254.4375,-6.107807887531267e-08,-6.117775566373595e-08
-254.9375,-6.06314413505524e-08,-6.122803933091143e-08
-255.4375,-6.047487979827879e-08,-6.119042259818199e-08
-255.9375,-6.014029901905445e-08,-6.110804272375512e-08
-256.4375,-5.98843963803128e-08,-6.110790072708189e-08
-256.9375,-5.967935637784279e-08,-6.109945162740823e-08
-257.4375,-5.975962397570896e-08,-6.096595017569072e-08
-257.9375,-6.035090212236668e-08,-6.110087602556907e-08
-258.4375,-6.015937250765631e-08,-6.085213508702634e-08
-258.9375,-6.043275917761633e-08,-6.103329175701424e-08
-259.4375,-6.079674491843519e-08,-6.081502103534543e-08
-259.9375,-6.158273159457028e-08,-6.090303472740624e-08
-260.4375,-6.161690492831527e-08,-6.082824538215107e-08
-260.9375,-6.161928911439051e-08,-6.078590334084748e-08
-261.4375,-6.209453687205357e-08,-6.077287405148227e-08
-261.9375,-6.212314710495638e-08,-6.074458452327899e-08
-262.4375,-6.178459268227332e-08,-6.064755106755579e-08
-262.9375,-6.168286740973005e-08,-6.070976981456127e-08
-263.4375,-6.120841438075872e-08,-6.061527116053465e-08
-263.9375,-6.101688476604836e-08,-6.057858743055209e-08
-264.4375,-6.077926088721683e-08,-6.068158089796088e-08
-264.9375,-5.981048661198058e-08,-6.039348339859013e-08
-265.4375,-5.987485963601187e-08,-6.069772343783226e-08
-265.9375,-5.940358552180753e-08,-6.029244384860013e-08
-266.4375,-5.942186428171764e-08,-6.060460385078415e-08
-266.9375,-5.885204380973703e-08,-6.033722532366433e-08
-267.4375,-5.930503916403124e-08,-6.038500774755369e-08
-267.9375,-5.964756723017302e-08,-6.047205095799376e-08
-268.4375,-5.9233513581774256e-08,-6.01074891830227e-08
-268.9375,-6.007354180894794e-08,-6.056424750946028e-08
-269.4375,-5.996307452079549e-08,-5.996880298553731e-08
-269.9375,-6.106297903016953e-08,-6.048153373728635e-08
-270.4375,-6.08110500348866e-08,-6.003721872694987e-08
-270.9375,-6.123622988496977e-08,-6.025767541744618e-08
-271.4375,-6.139914926677735e-08,-6.014246699999646e-08
-271.9375,-6.135226027396443e-08,-6.008789893010261e-08
-272.4375,-6.139755980939384e-08,-6.011796830025538e-08
-272.9375,-6.100337437828871e-08,-6.006266292586937e-08
-273.4375,-6.067038305644786e-08,-6.000083362616144e-08
-273.9375,-6.05773997995138e-08,-6.00556012827647e-08
-274.4375,-5.980651296852187e-08,-5.99257367177571e-08
-274.9375,-5.937020691675428e-08,-5.99777315657254e-08
-275.4375,-5.9282786760662414e-08,-5.990343900478225e-08
-275.9375,-5.9039599780988656e-08,-5.989447902673911e-08
-276.4375,-5.852064194527968e-08,-5.984221477741569e-08
-276.9375,-5.840302209890152e-08,-5.988033280545712e-08
-277.4375,-5.858978334146142e-08,-5.969549937870192e-08
-277.9375,-5.9070594199966694e-08,-5.995404545234605e-08
-278.4375,-5.872647667644143e-08,-5.949404721829003e-08
-278.9375,-5.953630521332883e-08,-6.002038405713184e-08
-279.4375,-5.931934428048264e-08,-5.938996887941455e-08
-279.9375,-6.056627359782938e-08,-5.992617476138762e-08
-280.4375,-6.02308980899133e-08,-5.9480640997379065e-08
-280.9375,-6.059249964465694e-08,-5.968235149947173e-08
-281.4375,-6.097635360276941e-08,-5.958924546132359e-08
-281.9375,-6.077449251506636e-08,-5.951113879393946e-08
-282.4375,-6.065210429653775e-08,-5.954466817387263e-08
-282.9375,-6.051779514763298e-08,-5.9512162735041284e-08
-283.4375,-6.022692444645458e-08,-5.945031615206327e-08
-283.9375,-5.993684847396793e-08,-5.9499881799044245e-08
-284.4375,-5.9322523195249616e-08,-5.94293546949669e-08
-284.9375,-5.8941053423212374e-08,-5.93653132474713e-08
-285.4375,-5.870819791653131e-08,-5.942285434994838e-08
-285.9375,-5.8112151397723126e-08,-5.9279465082246545e-08
-286.4375,-5.814791418885162e-08,-5.934099621751416e-08
-286.9375,-5.8108177754264403e-08,-5.932884784698594e-08
-287.4375,-5.800486302433765e-08,-5.921119531896098e-08
-287.9375,-5.8467395122932804e-08,-5.93336435619616e-08
-288.4375,-5.832831760187756e-08,-5.9118858241748195e-08
-288.9375,-5.8652566908109214e-08,-5.9241480027947715e-08
-289.4375,-5.9159603813442053e-08,-5.909911792734695e-08
-289.9375,-5.970001932382814e-08,-5.916451615002201e-08
-290.4375,-5.976359761916768e-08,-5.908334868397689e-08
-290.9375,-6.010930460007642e-08,-5.9132228322941895e-08
-291.4375,-6.039699638648784e-08,-5.900976562012543e-08
-291.9375,-6.045739576706041e-08,-5.9110768495988055e-08
-292.4375,-6.005844196380481e-08,-5.892633314865754e-08
-292.9375,-6.0098178398392e-08,-5.906010165701098e-08
-293.4375,-5.958160474875824e-08,-5.889830430314083e-08
-293.9375,-5.934795451338544e-08,-5.89643933421874e-08
-294.4375,-5.8968074198731683e-08,-5.887072511001479e-08
-294.9375,-5.831083357065919e-08,-5.8910675565607544e-08
-295.4375,-5.7847506743372285e-08,-5.8789476831135784e-08
-295.9375,-5.806049403275975e-08,-5.892606382919716e-08
-296.4375,-5.76106775932325e-08,-5.869427470420912e-08
-296.9375,-5.7525641623215876e-08,-5.890914181359966e-08
-297.4375,-5.7315833248595394e-08,-5.861012097499316e-08
-297.9375,-5.7918237596937525e-08,-5.8882105682404836e-08
-298.4375,-5.7853864572906245e-08,-5.853677316033891e-08
-298.9375,-5.8442758533488725e-08,-5.887851753746525e-08
-299.4375,-5.850077372798607e-08,-5.850555551514742e-08
-299.9375,-5.940358552180753e-08,-5.878515902302352e-08
-300.4375,-5.92883498615046e-08,-5.852509785414101e-08
-300.9375,-5.946636908845533e-08,-5.864085163092169e-08
-301.4375,-5.976677653393465e-08,-5.850586599826128e-08
-301.9375,-5.995910087733675e-08,-5.861698546440904e-08
-302.4375,-5.968015110653452e-08,-5.841518277365562e-08
-302.9375,-5.967617746307582e-08,-5.862682696779269e-08
-303.4375,-5.889416443039948e-08,-5.838485898261075e-08
-303.9375,-5.894900071012982e-08,-5.849875591965009e-08
-304.4375,-5.866369310979364e-08,-5.847478948789208e-08
-304.9375,-5.7714787051850995e-08,-5.8296993706855304e-08
-305.4375,-5.762418798099215e-08,-5.853865198437142e-08
-305.9375,-5.72514602245641e-08,-5.8190861260585954e-08
-306.4375,-5.738417991608539e-08,-5.848179254574357e-08
-306.9375,-5.678495448251022e-08,-5.8215974108731364e-08
-307.4375,-5.709648812967397e-08,-5.8330839833724365e-08
-307.9375,-5.744140038189098e-08,-5.83034887798866e-08
-308.4375,-5.7451731854883646e-08,-5.814832200967309e-08
-308.9375,-5.79214165117045e-08,-5.836257019495092e-08
-309.4375,-5.7951616201990794e-08,-5.803634069801678e-08
-309.9375,-5.876859729710388e-08,-5.832572632936918e-08
-310.4375,-5.8855222724504005e-08,-5.804467666950481e-08
-310.9375,-5.934000722646799e-08,-5.821495165595456e-08
-311.4375,-5.9310602264873456e-08,-5.806644482457225e-08
-311.9375,-5.926450800075228e-08,-5.8129945998137726e-08
-312.4375,-5.928755513281287e-08,-5.8016844370083146e-08
-312.9375,-5.926053435729357e-08,-5.811000354684452e-08
-313.4375,-5.856355729463387e-08,-5.794884684165574e-08
-313.9375,-5.8361696206930817e-08,-5.80661970165307e-08
-314.4375,-5.791505868217055e-08,-5.793072132801782e-08
-314.9375,-5.748749464601215e-08,-5.797520784255614e-08
-315.4375,-5.7147350765945604e-08,-5.7955954973741167e-08
-315.9375,-5.695105277908478e-08,-5.7876623243207477e-08
-316.4375,-5.6823101459713945e-08,-5.798144338252519e-08
-316.9375,-5.643288967206753e-08,-5.780395034792103e-08
-317.4375,-5.6778596652976275e-08,-5.793963642409964e-08
-317.9375,-5.6879527196827794e-08,-5.7813325850786406e-08
-318.4375,-5.7089335571448277e-08,-5.7782580030174246e-08
-318.9375,-5.740166394730376e-08,-5.791038892338488e-08
-319.4375,-5.75423309257425e-08,-5.7619737279528544e-08
-319.9375,-5.8544483806032e-08,-5.7933761654542316e-08
-320.4375,-5.832513868711058e-08,-5.760197529567523e-08
-320.9375,-5.876303419626168e-08,-5.7786299821798696e-08
-321.4375,-5.902132102107855e-08,-5.769095420585266e-08
-321.9375,-5.8904495903392136e-08,-5.7624785105656986e-08
-322.4375,-5.889416443039948e-08,-5.771351384891694e-08
-322.9375,-5.8527794503505375e-08,-5.757713817241723e-08
-323.4375,-5.837838550945746e-08,-5.763379402898222e-08
-323.9375,-5.803426798593218e-08,-5.757921201048394e-08
-324.4375,-5.745888441310935e-08,-5.754231956557289e-08
-324.9375,-5.7002710144048155e-08,-5.755797915098595e-08
-325.4375,-5.672376037324593e-08,-5.7485357443884135e-08
-325.9375,-5.6657003163139406e-08,-5.751877933892985e-08
-326.4375,-5.6326396027373793e-08,-5.744587955945087e-08
-326.9375,-5.60696986599404e-08,-5.7469685902223794e-08
-327.4375,-5.605062517133853e-08,-5.7394361870988406e-08
-327.9375,-5.6504415254324505e-08,-5.7436196075369516e-08
-328.4375,-5.6766675722600115e-08,-5.7317917939926866e-08
-328.9375,-5.693436347655815e-08,-5.741587795055434e-08
-329.4375,-5.7077414641072103e-08,-5.727368341173342e-08
-329.9375,-5.792539015516322e-08,-5.735002316469188e-08
-330.4375,-5.8174140235679175e-08,-5.729658836977613e-08
-330.9375,-5.815268256100207e-08,-5.7258377760781435e-08
-331.4375,-5.8557994193791654e-08,-5.725034032273255e-08
-331.9375,-5.857468349631828e-08,-5.7247149209706817e-08
-332.4375,-5.817096132091219e-08,-5.7115225509627115e-08
-332.9375,-5.821705558503338e-08,-5.7285576889818836e-08
-333.4375,-5.779505464971718e-08,-5.706113569753903e-08
-333.9375,-5.7810949223552047e-08,-5.7237038722005276e-08
-334.4375,-5.712668781996026e-08,-5.7100860467168566e-08
-334.9375,-5.6476599750113463e-08,-5.710027890087821e-08
