potential,current,current_filtered_50Hz
-101.0625,-2.4549169287979917e-08,-2.4154935047033774e-08
-101.5625,-2.729098327449758e-08,-2.5666701465499193e-08
-102.0625,-2.977371570750662e-08,-2.7176707017989016e-08
-102.5625,-3.091971448100183e-08,-2.834259211855262e-08
-103.0625,-3.176451108032597e-08,-2.9678173665211265e-08
-103.5625,-3.2552087213844516e-08,-3.047694780443188e-08
-104.0625,-3.362814986246623e-08,-3.183571002475582e-08
-104.5625,-3.3241911718278535e-08,-3.2381446486286036e-08
-105.0625,-3.3965114827765797e-08,-3.378311262201499e-08
-105.5625,-3.3968293742532786e-08,-3.4121191611663194e-08
-106.0625,-3.5124623989020664e-08,-3.553159483588578e-08
-106.5625,-3.491640507178366e-08,-3.555560266198956e-08
-107.0625,-3.5948757642359445e-08,-3.7232297742919744e-08
-107.5625,-3.5623713607436046e-08,-3.6868246762686785e-08
-108.0625,-3.829638619777197e-08,-3.879054844135154e-08
-108.5625,-3.7236218122985134e-08,-3.8240757181757677e-08
-109.0625,-3.8750971009449686e-08,-3.999274015230676e-08
-109.5625,-3.9255623728707275e-08,-3.940902376380653e-08
-110.0625,-4.131873941247535e-08,-4.096014953694205e-08
-110.5625,-4.0525600178114584e-08,-4.018540838420807e-08
-111.0625,-4.2333607951832765e-08,-4.171980540380545e-08
-111.5625,-4.17757084102283e-08,-4.085935698938901e-08
-112.0625,-4.380782967501835e-08,-4.219475892941888e-08
-112.5625,-4.3221319900511087e-08,-4.1620013326527104e-08
-113.0625,-4.3293640211459825e-08,-4.2619053946107995e-08
-113.5625,-4.2866076175301415e-08,-4.2326026014266106e-08
-114.0625,-4.4036711538240704e-08,-4.3275043600772206e-08
-114.5625,-4.333576083212226e-08,-4.2994353940199905e-08
-115.0625,-4.3533648276366586e-08,-4.402726257214933e-08
-115.5625,-4.288514966390328e-08,-4.375204061448371e-08
-116.0625,-4.415751029938582e-08,-4.471518398538633e-08
-116.5625,-4.3725972619768695e-08,-4.456414839263648e-08
-117.0625,-4.383802936530463e-08,-4.542850124241345e-08
-117.5625,-4.409870037619675e-08,-4.526349478678818e-08
-118.0625,-4.56802104727678e-08,-4.617948216536289e-08
-118.5,-4.5101647985177985e-08,-4.5847864666966254e-08
-119.0,-4.6072806446489466e-08,-4.687229886924912e-08
-119.5,-4.6445534202917524e-08,-4.648971093913453e-08
-120.0,-4.8205063526439286e-08,-4.746424575112233e-08
-120.5,-4.798412895013438e-08,-4.717276102676497e-08
-121.0,-4.8842435937218184e-08,-4.7992151217359734e-08
-121.5,-4.894098229499447e-08,-4.76685245439188e-08
-122.0,-4.9746837188423134e-08,-4.8545671204464503e-08
-122.5,-4.906654942829006e-08,-4.8055967949240776e-08
-123.0,-5.003611843221805e-08,-4.912797388672134e-08
-123.5,-4.918496400335995e-08,-4.863825506022817e-08
-124.0,-5.029122634226795e-08,-4.960037676204153e-08
-124.5,-4.9559281217171486e-08,-4.932699528423562e-08
-125.0,-4.898548710173214e-08,-4.9985314431974026e-08
-125.5,-4.8927471907234815e-08,-4.9849085410518584e-08
-126.0,-5.0028171145300596e-08,-5.051860259508655e-08
-126.5,-4.90331708232368e-08,-5.0221912654377503e-08
-127.0,-4.935742012946846e-08,-5.1293141622604914e-08
-127.5,-4.9566433775397185e-08,-5.060740198576749e-08
-128.0,-5.191644651688495e-08,-5.20286037764683e-08
-128.5,-5.041520401818005e-08,-5.106994500129573e-08
-129.0,-5.187909426837296e-08,-5.2433577296465183e-08
-129.5,-5.167325953721121e-08,-5.160526529726834e-08
-130.0,-5.314350761693807e-08,-5.2747142526892346e-08
-130.5,-5.3002840638499335e-08,-5.2121919419356065e-08
-131.0,-5.421957026555978e-08,-5.3244364523539835e-08
-131.5,-5.365451816572962e-08,-5.2548890307305566e-08
-132.0,-5.531152748801638e-08,-5.371233204399562e-08
-132.5,-5.4214007164717564e-08,-5.298973078482687e-08
-133.0,-5.454620375786667e-08,-5.400634925357429e-08
-133.5,-5.409797677572291e-08,-5.352554285310603e-08
-134.0,-5.4931647173362626e-08,-5.427877378400791e-08
-134.5,-5.397479382850256e-08,-5.408452170382602e-08
-135.0,-5.373716994967102e-08,-5.4639262830019266e-08
-135.5,-5.3817437547537187e-08,-5.45113027728073e-08
-136.0,-5.450805678066295e-08,-5.517091263745335e-08
-136.5,-5.36990229724673e-08,-5.471523254297798e-08
-137.0,-5.4274406545290136e-08,-5.578286494069075e-08
-137.5,-5.358299258347264e-08,-5.490504243618324e-08
-138.0,-5.5763728113618864e-08,-5.619050839373501e-08
-138.5,-5.4513619881505165e-08,-5.5344065884548453e-08
-139.0,-5.5472857412440466e-08,-5.644080544849216e-08
-139.5,-5.621672346791309e-08,-5.5907749469046774e-08
-140.0,-5.765756658604541e-08,-5.67641435425422e-08
-140.5,-5.7022578361341765e-08,-5.6335417170327624e-08
-141.0,-5.8019168140789044e-08,-5.7132091632639324e-08
-141.5,-5.7897574650952175e-08,-5.660756136081332e-08
-142.0,-5.886555419749668e-08,-5.75576096201734e-08
-142.5,-5.813996690193417e-08,-5.6823563536264304e-08
-143.0,-5.891005900423435e-08,-5.804731453811576e-08
-143.5,-5.7512925964147964e-08,-5.7184851714086065e-08
-144.0,-5.9084104587726345e-08,-5.828353190038063e-08
-144.5,-5.7886448449267754e-08,-5.7781089981660356e-08
-145.0,-5.7257818054098046e-08,-5.823964849304233e-08
-145.5,-5.754312565443424e-08,-5.830489532696075e-08
-146.0,-5.7574120073412275e-08,-5.846982809517665e-08
-146.5,-5.736987479963398e-08,-5.85078502190564e-08
-147.0,-5.764087728351879e-08,-5.9097784048161216e-08
-147.5,-5.740722704814598e-08,-5.858090335627134e-08
-148.0,-5.925099761299264e-08,-5.958757690535908e-08
-148.5,-5.8112151397723126e-08,-5.879590796959558e-08
-149.0,-5.887985931394807e-08,-5.976962207452706e-08
-149.5,-5.9110330634553896e-08,-5.917121348017513e-08
-150.0,-6.066958832775612e-08,-5.996151839222979e-08
