potential,current,current_filtered_()Hz,current_filtered_50Hz,current_filtered_59Hz,basecurrent_4
-143.8125,-3.266493868807221e-08,-2.696148636665535e-08,-2.6961486366655342e-08,-2.8773480787679446e-08,1.4176202903769456e-08
-144.3125,-3.3848289710079395e-08,-2.8479990396550142e-08,-2.8479990396550132e-08,-2.9631975447033806e-08,1.4129727826232757e-08
-144.8125,-3.0747258354893325e-08,-2.737796726307397e-08,-2.7377967263073956e-08,-2.8244095117693688e-08,1.40833737541794e-08
-145.3125,-2.8905871976121896e-08,-2.8159397604637527e-08,-2.8159397604637527e-08,-2.844521516463953e-08,1.4037140591060972e-08
-145.8125,-2.6315056441035642e-08,-2.7753762513071525e-08,-2.7753762513071542e-08,-2.7283766801880532e-08,1.399102824035769e-08
-146.3125,-2.418995191931152e-08,-2.7834761038860327e-08,-2.783476103886034e-08,-2.7040381814336984e-08,1.3945036605578399e-08
-146.8125,-2.2855602445872914e-08,-2.7911345148300886e-08,-2.7911345148300902e-08,-2.6454004933547557e-08,1.3899165590260561e-08
-147.3125,-2.1414759327740588e-08,-2.793011528575459e-08,-2.7930115285754605e-08,-2.6213188564255992e-08,1.3853415097970268e-08
-147.8125,-2.0800434049022284e-08,-2.8099813268688238e-08,-2.809981326868826e-08,-2.619385440559854e-08,1.3807785032302241e-08
-148.3125,-2.163966754750421e-08,-2.79946608509662e-08,-2.7994660850966232e-08,-2.618875885569991e-08,1.3762275296879821e-08
-148.8125,-2.2454264456542072e-08,-2.819834751657089e-08,-2.819834751657093e-08,-2.6379276583572143e-08,1.3716885795354977e-08
-149.3125,-2.244790662700812e-08,-2.79653638739514e-08,-2.7965363873951442e-08,-2.6845210124478163e-08,1.3671616431408308e-08
-149.8125,-2.480666138410505e-08,-2.794192441158792e-08,-2.794192441158795e-08,-2.6997275542018913e-08,1.3626467108749027e-08
-150.3125,-2.760887475119528e-08,-2.8414201960051965e-08,-2.841420196005199e-08,-2.8217363214161395e-08,1.3581437731114988e-08
-150.8125,-2.880653088965387e-08,-2.7579026749484646e-08,-2.7579026749484646e-08,-2.803285880991621e-08,1.3536528202272656e-08
-151.3125,-3.273805372771268e-08,-2.9029248329019606e-08,-2.9029248329019593e-08,-2.979279135137327e-08,1.3491738426017132e-08
-151.8125,-3.2560829229453706e-08,-2.7386581298283577e-08,-2.738658129828356e-08,-2.893070650994957e-08,1.3447068306172135e-08
-152.3125,-3.5611792677059886e-08,-2.917478695725284e-08,-2.9174786957252788e-08,-3.074256054977513e-08,1.340251774659002e-08
-152.8125,-3.4440362585428865e-08,-2.7339528349685942e-08,-2.7339528349685903e-08,-2.9351782393044305e-08,1.3358086651151753e-08
-153.3125,-3.576914895802525e-08,-2.908670455748806e-08,-2.9086704557487995e-08,-3.084108935916555e-08,1.3313774923766938e-08
-153.8125,-3.3487482884027504e-08,-2.7549519248459798e-08,-2.7549519248459725e-08,-2.937175250834775e-08,1.32695824683738e-08
-154.3125,-3.4232938396883613e-08,-2.8932754419484504e-08,-2.8932754419484444e-08,-3.0167861872458396e-08,1.3225509188939189e-08
-154.8125,-3.1189922236194884e-08,-2.8073044153779047e-08,-2.8073044153778987e-08,-2.8882645072888463e-08,1.3181554989458581e-08
-155.3125,-2.9247605313571936e-08,-2.8515100499811917e-08,-2.851510049981188e-08,-2.8838696423559434e-08,1.3137719773956078e-08
-155.8125,-2.72878043597306e-08,-2.8499786805167763e-08,-2.8499786805167763e-08,-2.7954217950775342e-08,1.309400344648441e-08
-156.3125,-2.449194882217433e-08,-2.8197173627129413e-08,-2.8197173627129416e-08,-2.744407324484268e-08,1.3050405911124927e-08
-156.8125,-2.3462775166365524e-08,-2.8580120704429442e-08,-2.8580120704429485e-08,-2.7094771577934582e-08,1.3006927071987608e-08
-157.3125,-2.1956764295510168e-08,-2.8318310986855917e-08,-2.8318310986855967e-08,-2.6624452191087075e-08,1.2963566833211064e-08
-157.8125,-2.125978723285046e-08,-2.860680419957669e-08,-2.8606804199576765e-08,-2.6711483221228702e-08,1.2920325098962514e-08
-158.3125,-2.1781923983326443e-08,-2.847294510229091e-08,-2.8472945102290983e-08,-2.6620721840569892e-08,1.2877201773437821e-08
-158.8125,-2.285242353110593e-08,-2.862318699769717e-08,-2.8623186997697253e-08,-2.6897070266713084e-08,1.2834196760861464e-08
-159.3125,-2.3378533925040632e-08,-2.8528933048647688e-08,-2.8528933048647784e-08,-2.73249526801821e-08,1.279130996548655e-08
-159.8125,-2.536376619701777e-08,-2.8422175311781265e-08,-2.8422175311781357e-08,-2.754331453541003e-08,1.2748541291594814e-08
-160.3125,-2.8057896462030786e-08,-2.8816239921340985e-08,-2.881623992134106e-08,-2.8587361247731226e-08,1.270589064349661e-08
-160.8125,-2.9339793841814262e-08,-2.818625468515333e-08,-2.818625468515339e-08,-2.8539707926059317e-08,1.2663357925530924e-08
-161.3125,-3.265619667246302e-08,-2.920998838434617e-08,-2.9209988384346194e-08,-3.0091405316104703e-08,1.2620943042065364e-08
-161.8125,-3.331423202922726e-08,-2.8017605081044238e-08,-2.8017605081044228e-08,-2.944478085825444e-08,1.2578645897496165e-08
-162.3125,-3.589630554870433e-08,-2.942261283873362e-08,-2.9422612838733583e-08,-3.1111589940569504e-08,1.253646639624819e-08
-162.8125,-3.486554243551204e-08,-2.7748267625515436e-08,-2.7748267625515376e-08,-2.976376701490564e-08,1.2494404442774923e-08
-163.3125,-3.6180818420348775e-08,-2.9560704459478003e-08,-2.956070445947793e-08,-3.126053663902348e-08,1.2452459941558476e-08
-163.8125,-3.3415957301770525e-08,-2.7722966318108337e-08,-2.7722966318108268e-08,-2.960122291687604e-08,1.2410632797109586e-08
-164.3125,-3.5029256546011345e-08,-2.953806499518385e-08,-2.9538064995183778e-08,-3.067616128728343e-08,1.2368922913967615e-08
-164.8125,-3.1514966271118276e-08,-2.8193178919971103e-08,-2.8193178919971047e-08,-2.906964015387183e-08,1.2327330196700553e-08
-165.3125,-2.9683116636647786e-08,-2.9117956745132567e-08,-2.9117956745132487e-08,-2.9414588805458595e-08,1.2285854549905016e-08
-165.8125,-2.737125087236376e-08,-2.862060744709112e-08,-2.8620607447091077e-08,-2.813646352306277e-08,1.2244495878206239e-08
-166.3125,-2.5194488985676247e-08,-2.8707316294907737e-08,-2.8707316294907688e-08,-2.7921676942943682e-08,1.2203254086258092e-08
-166.8125,-2.3477875011508663e-08,-2.877564276934413e-08,-2.8775642769344102e-08,-2.729167361482246e-08,1.2162129078743063e-08
-167.3125,-2.2193593445649953e-08,-2.8693629837532966e-08,-2.8693629837532943e-08,-2.7000141351633693e-08,1.2121120760372269e-08
-167.8125,-2.1797818557161318e-08,-2.895820893557463e-08,-2.8958208935574615e-08,-2.7019613957352383e-08,1.2080229035885452e-08
-168.3125,-2.2146704452837043e-08,-2.875423566680265e-08,-2.875423566680265e-08,-2.6937399197380405e-08,1.2039453810050981e-08
-168.8125,-2.341191253009389e-08,-2.9020107898471166e-08,-2.9020107898471166e-08,-2.7240103544886284e-08,1.1998794987665848e-08
-169.3125,-2.361297888910519e-08,-2.8737289430529034e-08,-2.8737289430529047e-08,-2.7540449623027747e-08,1.1958252473555674e-08
-169.8125,-2.5294624800836024e-08,-2.875943604086464e-08,-2.8759436040864648e-08,-2.7877123298665605e-08,1.1917826172574701e-08
-170.3125,-2.8051538632496833e-08,-2.898973404536165e-08,-2.8989734045361673e-08,-2.8786848964050317e-08,1.18775159896058e-08
-170.8125,-2.9994650283811524e-08,-2.851291514975284e-08,-2.8512915149752856e-08,-2.892307636280532e-08,1.1837321829560471e-08
-171.3125,-3.2922430784197343e-08,-2.9401198384524602e-08,-2.9401198384524625e-08,-3.026397970952145e-08,1.1797243597378828e-08
-171.8125,-3.344377280598157e-08,-2.8371819090099265e-08,-2.8371819090099288e-08,-2.983083855651925e-08,1.1757281198029624e-08
-172.3125,-3.608545097733946e-08,-2.9569149457772845e-08,-2.956914945777285e-08,-3.119727139073801e-08,1.1717434536510228e-08
-172.8125,-3.533840600709987e-08,-2.8198549820286302e-08,-2.8198549820286286e-08,-3.019378818519981e-08,1.167770351784664e-08
-173.3125,-3.628413315027553e-08,-2.955856218260565e-08,-2.955856218260562e-08,-3.1306277761864865e-08,1.1638088047093483e-08
-173.8125,-3.417651265976977e-08,-2.8252181985369612e-08,-2.8252181985369556e-08,-3.0075226093218704e-08,1.1598588029334008e-08
-174.3125,-3.463586584359795e-08,-2.9457312829465752e-08,-2.9457312829465693e-08,-3.0671504726815386e-08,1.1559203369680088e-08
-174.8125,-3.171126425797912e-08,-2.866959478641377e-08,-2.8669594786413712e-08,-2.9503285111409063e-08,1.1519933973272225e-08
-175.3125,-2.993186671716373e-08,-2.9134112206997244e-08,-2.913411220699721e-08,-2.941420790412536e-08,1.1480779745279545e-08
-175.8125,-2.80006759962252e-08,-2.9014455401355763e-08,-2.9014455401355733e-08,-2.8547689123836867e-08,1.14417405908998e-08
-176.3125,-2.526124619578276e-08,-2.8797972672530394e-08,-2.8797972672530384e-08,-2.798468035297256e-08,1.1402816415359367e-08
-176.8125,-2.3721061991182405e-08,-2.9111402493526186e-08,-2.9111402493526203e-08,-2.7622516059500944e-08,1.1364007123913248e-08
-177.3125,-2.2353333912690563e-08,-2.8747045132606506e-08,-2.8747045132606535e-08,-2.7097436944163388e-08,1.1325312621845077e-08
-177.8125,-2.2199156546492164e-08,-2.9199573407217955e-08,-2.9199573407217998e-08,-2.7212469397950207e-08,1.1286732814467099e-08
-178.3125,-2.1996500730097383e-08,-2.8855181624927764e-08,-2.885518162492783e-08,-2.7095238286232155e-08,1.1248267607120204e-08
-178.8125,-2.317985175210457e-08,-2.9096801699889678e-08,-2.9096801699889774e-08,-2.7339736136824568e-08,1.120991690517389e-08
-179.3125,-2.3964248970856146e-08,-2.90338526627976e-08,-2.9033852662797682e-08,-2.778916325643325e-08,1.1171680614026291e-08
-179.8125,-2.5516354105832682e-08,-2.8695011274147375e-08,-2.8695011274147488e-08,-2.7915441840482713e-08,1.1133558639104163e-08
-180.3125,-2.8505328715482803e-08,-2.936100767753313e-08,-2.9361007677533217e-08,-2.903069999524263e-08,1.1095550885862892e-08
-180.8125,-2.9532118185216367e-08,-2.8467789641895867e-08,-2.8467789641895966e-08,-2.8913157494700778e-08,1.1057657259786481e-08
-181.3125,-3.325065373388772e-08,-2.9615702057514662e-08,-2.9615702057514734e-08,-3.0484821065680963e-08,1.1019877666387567e-08
-181.8125,-3.393570986617126e-08,-2.8479969555560626e-08,-2.8479969555560715e-08,-2.985515531783372e-08,1.0982212011207404e-08
-182.3125,-3.5921736866840155e-08,-2.9657519915134723e-08,-2.965751991513479e-08,-3.1425123645507485e-08,1.0944660199815883e-08
-182.8125,-3.542026306234952e-08,-2.826972762697413e-08,-2.8269727626974188e-08,-3.0195004300786615e-08,1.0907222137811512e-08
-183.3125,-3.664335051894393e-08,-2.9756457579917645e-08,-2.9756457579917695e-08,-3.14951361751809e-08,1.0869897730821427e-08
-183.8125,-3.384590552400416e-08,-2.811831277788533e-08,-2.811831277788536e-08,-3.001311768697783e-08,1.0832686884501388e-08
-184.3125,-3.4877463365888204e-08,-2.9781241825143056e-08,-2.9781241825143086e-08,-3.082885121038093e-08,1.0795589504535786e-08
-184.8125,-3.169934332760294e-08,-2.8527316719143988e-08,-2.8527316719144005e-08,-2.9492246470249365e-08,1.0758605496637629e-08
-185.3125,-3.0388040986224925e-08,-2.9284786361311256e-08,-2.9284786361311253e-08,-2.9500830696937818e-08,1.072173476654856e-08
-185.8125,-2.782980932750018e-08,-2.909656011919348e-08,-2.909656011919348e-08,-2.861981074055268e-08,1.0684977220038838e-08
-186.3125,-2.4743877817457257e-08,-2.863111415470373e-08,-2.863111415470372e-08,-2.7903723071262623e-08,1.0648332762907358e-08
-186.8125,-2.4320287424757566e-08,-2.9379219464809768e-08,-2.9379219464809758e-08,-2.7801246751949407e-08,1.0611801300981629e-08
-187.3125,-2.2071999955813084e-08,-2.8470036998497467e-08,-2.847003699849745e-08,-2.6921560734873645e-08,1.05753827401178e-08
-187.8125,-2.220313018995089e-08,-2.9488035950005042e-08,-2.948803595000502e-08,-2.7468753681107627e-08,1.053907698620063e-08
-188.3125,-2.194007499298353e-08,-2.861964814362788e-08,-2.8619648143627858e-08,-2.6891996270611865e-08,1.0502883945143515e-08
-188.8125,-2.3688478114820888e-08,-2.933956942843244e-08,-2.9339569428432416e-08,-2.7535921423228877e-08,1.0466803522888474e-08
-189.3125,-2.3641589122007985e-08,-2.8822536777206923e-08,-2.8822536777206897e-08,-2.7601529091372048e-08,1.0430835625406144e-08
-189.8125,-2.5529069764900565e-08,-2.8807915023741918e-08,-2.8807915023741908e-08,-2.7997030454970515e-08,1.0394980158695802e-08
-190.3125,-2.8365456465735805e-08,-2.9247775474244284e-08,-2.9247775474244284e-08,-2.8913244668568717e-08,1.0359237028785334e-08
-190.8125,-2.9561523146810907e-08,-2.8392094772873807e-08,-2.8392094772873807e-08,-2.89133286282384e-08,1.0323606141731267e-08
-191.3125,-3.335714737858145e-08,-2.9624850181898063e-08,-2.9624850181898083e-08,-3.037992378400272e-08,1.0288087403618742e-08
-191.8125,-3.3528014047306465e-08,-2.8346200069481718e-08,-2.8346200069481738e-08,-2.981659783828503e-08,1.0252680720561535e-08
-192.3125,-3.5878821517485964e-08,-2.958781599890408e-08,-2.958781599890411e-08,-3.1273760704892066e-08,1.0217385998702038e-08
-192.8125,-3.5593513917149773e-08,-2.829964415918435e-08,-2.8299644159184365e-08,-3.0209640595768235e-08,1.0182203144211278e-08
-193.3125,-3.6353274546457273e-08,-2.9468090470115788e-08,-2.946809047011581e-08,-3.1295207176122105e-08,1.01471320632889e-08
-193.8125,-3.412088165134768e-08,-2.8267681775581493e-08,-2.8267681775581496e-08,-3.0052045206161455e-08,1.0112172662163177e-08
-194.3125,-3.4383142119623277e-08,-2.9414549925779914e-08,-2.9414549925779927e-08,-3.059416954311557e-08,1.0077324847091013e-08
-194.8125,-3.158967076814223e-08,-2.8564512703954178e-08,-2.8564512703954185e-08,-2.94682241394769e-08,1.0042588524357928e-08
-195.3125,-3.0190948270672355e-08,-2.9075518382050763e-08,-2.9075518382050763e-08,-2.9306569206897188e-08,1.0007963600278074e-08
-195.8125,-2.7812325296281807e-08,-2.8935247785766442e-08,-2.8935247785766445e-08,-2.850154818362135e-08,9.973449981194231e-09
-196.3125,-2.4717651770629697e-08,-2.8612455755028087e-08,-2.8612455755028094e-08,-2.7777188412919223e-08,9.939047573477794e-09
-196.8125,-2.3775103542221013e-08,-2.9102647435530047e-08,-2.910264743553006e-08,-2.7619164716733925e-08,9.904756283528796e-09
-197.3125,-2.217054631358937e-08,-2.8453309422278237e-08,-2.8453309422278237e-08,-2.680111845052656e-08,9.870576017775886e-09
-197.8125,-2.2144320266761813e-08,-2.926667521585105e-08,-2.926667521585105e-08,-2.730091049525225e-08,9.836506682676347e-09
-198.3125,-2.1658741036106072e-08,-2.8429137504102933e-08,-2.8429137504102927e-08,-2.6707293116184333e-08,9.802548184716078e-09
-198.8125,-2.348264338365913e-08,-2.9284157550785937e-08,-2.9284157550785937e-08,-2.744158791695745e-08,9.768700430409611e-09
-199.3125,-2.3343565862603885e-08,-2.8492457233494162e-08,-2.849245723349415e-08,-2.735118268610162e-08,9.734963326300104e-09
-199.8125,-2.5811993179161528e-08,-2.886098542137003e-08,-2.8860985421370034e-08,-2.797152978243661e-08,9.701336778959334e-09
-200.3125,-2.805630700464729e-08,-2.891765996821274e-08,-2.8917659968212728e-08,-2.862451659445651e-08,9.66782069498771e-09
-200.8125,-2.956629151896137e-08,-2.8381078700777263e-08,-2.838107870077725e-08,-2.8883921173060965e-08,9.634414981014265e-09
-201.3125,-3.3027334971507585e-08,-2.934098578111989e-08,-2.934098578111989e-08,-3.0072397453978264e-08,9.601119543696656e-09
-201.8125,-3.321489094275922e-08,-2.823571096077667e-08,-2.823571096077665e-08,-2.9763331920725346e-08,9.567934289721163e-09
-202.3125,-3.5709544306144435e-08,-2.9309159208594257e-08,-2.930915920859424e-08,-3.096458404390214e-08,9.5348591258027e-09
