potential,forwardcurrent,backwardcurrent,fbcurrent,basecurrent_4
-1056.0,-2.6630563731658108e-08,-2.157529452347293e-08,-5.0552692081851815e-09,4.974092660346956e-09
-1060.0,-2.671877861644172e-08,-2.166668832302352e-08,-5.052090293418202e-09,4.9787408335331646e-09
-1064.0,-2.6837193191511614e-08,-2.1783513440709918e-08,-5.053679750801693e-09,4.982466053522722e-09
-1068.0,-2.6923818618911736e-08,-2.1879675612410972e-08,-5.044143006500762e-09,4.985444469073953e-09
-1072.0,-2.7026338620146747e-08,-2.1933717163449584e-08,-5.092621456697159e-09,4.987863730507903e-09
-1076.0,-2.7074817070343142e-08,-2.202590569169192e-08,-5.0489113786512295e-09,4.989922989708301e-09
-1080.0,-2.7182105443728614e-08,-2.212286259208472e-08,-5.0592428516438995e-09,4.9918329001216136e-09
-1084.0,-2.7328335523009562e-08,-2.2236508795004145e-08,-5.091826728005417e-09,4.993815616756999e-09
-1088.0,-2.741893459386841e-08,-2.2333465695396945e-08,-5.085468898471464e-09,4.996104796186342e-09
-1092.0,-2.750794420734376e-08,-2.2424064766255783e-08,-5.083879441087976e-09,4.9989455965442154e-09
-1096.0,-2.7628742968488888e-08,-2.2530558410949515e-08,-5.098184557539373e-09,5.00259467752792e-09
-1100.0,-2.775431010178448e-08,-2.265294662947813e-08,-5.101363472306349e-09,5.007320200397451e-09
-1104.0,-2.7882261421155305e-08,-2.2733214227344303e-08,-5.149047193811005e-09,5.013401827975531e-09
-1108.0,-2.794822390257008e-08,-2.2842092058113266e-08,-5.106131844456814e-09,5.021130724647575e-09
-1112.0,-2.80348493299702e-08,-2.2918386012520706e-08,-5.116463317449489e-09,5.030809556361725e-09
-1116.0,-2.8158827005882305e-08,-2.303680058759061e-08,-5.122026418291696e-09,5.042752490628801e-09
-1120.0,-2.8244657704590685e-08,-2.309163686732096e-08,-5.153020837269724e-09,5.057285196522376e-09
-1124.0,-2.8316183286847664e-08,-2.3209256713699107e-08,-5.106926573148556e-09,5.074744844678716e-09
-1128.0,-2.8460823908745123e-08,-2.3300650513249694e-08,-5.16017339549542e-09,5.095480107296765e-09
-1132.0,-2.8570496468205822e-08,-2.3361049893822262e-08,-5.209446574383567e-09,5.119851158138213e-09
-1136.0,-2.8696858330193163e-08,-2.3506485244411457e-08,-5.190373085781702e-09,5.148229672527466e-09
-1140.0,-2.8768383912450145e-08,-2.3575626640593206e-08,-5.192757271856936e-09,5.180998827351613e-09
-1144.0,-2.8925740193415504e-08,-2.3685299200053915e-08,-5.2404409933615894e-09,5.2185533010604565e-09
-1148.0,-2.906004934232028e-08,-2.379020338736416e-08,-5.2698459549561295e-09,5.261299273666513e-09
