potential,current,current_filtered_50Hz,basecurrent_4
-101.125,-1.5179318012315196e-08,-1.540833567314949e-08,1.8693511070981194e-08
-101.625,-1.7197134160653852e-08,-1.6374655442659255e-08,1.8706028616414775e-08
-102.125,-1.984437543285395e-08,-1.8071516698780158e-08,1.8718570547545995e-08
-102.625,-2.074321358321669e-08,-1.818172459850623e-08,1.873113683578212e-08
-103.125,-2.3322108187926796e-08,-2.0219353263983625e-08,1.8743727452539407e-08
-103.625,-2.2897723066535363e-08,-1.9933795195043186e-08,1.8756342369243095e-08
-104.125,-2.523978852110567e-08,-2.167429067988009e-08,1.87689815573274e-08
-104.625,-2.5043490534244838e-08,-2.1646223542668965e-08,1.8781644988235525e-08
-105.125,-2.5093558441824728e-08,-2.269380004559416e-08,1.879433263341965e-08
-105.625,-2.5064948208921934e-08,-2.2821520527341034e-08,1.8807044464340945e-08
-106.125,-2.4949712548619017e-08,-2.3536470624705957e-08,1.881978045246955e-08
-106.625,-2.354781113638216e-08,-2.3448030016378218e-08,1.8832540569284603e-08
-107.125,-2.3485822298426108e-08,-2.4079075336564248e-08,1.884532478627421e-08
-107.625,-2.2479695774677886e-08,-2.4025675215556592e-08,1.8858133074935465e-08
-108.125,-2.22500191827638e-08,-2.4346382912702526e-08,1.8870965406774447e-08
-108.625,-2.209584181656541e-08,-2.4429040887206727e-08,1.8883821753306212e-08
-109.125,-2.119859312358616e-08,-2.467046444220124e-08,1.8896702086054803e-08
-109.625,-2.1167598704608125e-08,-2.444011105633162e-08,1.8909606376553237e-08
-110.125,-2.2762619188938843e-08,-2.5098747939271785e-08,1.8922534596343525e-08
-110.625,-2.1974248326728545e-08,-2.451213767010914e-08,1.8935486716976653e-08
-111.125,-2.363205237770705e-08,-2.5453227712344702e-08,1.8948462710012587e-08
-111.625,-2.4484796263948637e-08,-2.4828861159247e-08,1.8961462547020278e-08
-112.125,-2.6127500469783998e-08,-2.5874287403625698e-08,1.8974486199577663e-08
-112.625,-2.6288830394208078e-08,-2.5088428550902616e-08,1.898753363927165e-08
-113.125,-2.8676990112899555e-08,-2.642260960654084e-08,1.900060483769815e-08
-113.625,-2.7826630412733204e-08,-2.5425960476648732e-08,1.901369976646203e-08
-114.125,-2.986113586359848e-08,-2.6881400244058435e-08,1.9026818397177157e-08
-114.625,-2.93962195789281e-08,-2.606643116723689e-08,1.903996070146638e-08
-115.125,-3.010511757196397e-08,-2.7216610198676855e-08,1.9053126650961515e-08
-115.625,-2.9057665156245048e-08,-2.6706643834178915e-08,1.906631621730338e-08
-116.125,-2.920310050683425e-08,-2.7521779893523885e-08,1.907952937214176e-08
-116.625,-2.7914050568825072e-08,-2.7175461824527174e-08,1.909276608713543e-08
-117.125,-2.7497612734351087e-08,-2.7816497753873248e-08,1.9106026333952147e-08
-117.625,-2.635479287562285e-08,-2.761340605077069e-08,1.911931008426864e-08
-118.125,-2.6229225742327262e-08,-2.8143476572773194e-08,1.913261730977064e-08
-118.625,-2.5627616122676863e-08,-2.7974379841033285e-08,1.9145947982152842e-08
-119.125,-2.5538606509201507e-08,-2.8545470294090706e-08,1.9159302073118928e-08
-119.625,-2.5118989759960546e-08,-2.819916490571243e-08,1.9172679554381568e-08
-120.125,-2.6329361557487042e-08,-2.8940645625274365e-08,1.918608039766241e-08
-120.625,-2.5990807134803982e-08,-2.8460836479148823e-08,1.919950457469208e-08
-121.125,-2.739111908965736e-08,-2.9263896912705886e-08,1.9212952057210193e-08
-121.625,-2.814849553288963e-08,-2.879520040793477e-08,1.9226422816965344e-08
-122.125,-2.9789610281341506e-08,-2.9567418938014973e-08,1.923991682571511e-08
-122.625,-2.988497772435081e-08,-2.9086910021325665e-08,1.9253434055226048e-08
-123.125,-3.162940720272945e-08,-2.9951799847353365e-08,1.92669744772737e-08
-123.625,-3.2128496821144835e-08,-2.9428688957235687e-08,1.928053806364259e-08
-124.125,-3.349304598486972e-08,-3.032415067873653e-08,1.929412478612622e-08
-124.625,-3.2773816518841165e-08,-2.990905245565498e-08,1.9307734616527083e-08
-125.125,-3.3358736835964936e-08,-3.056304800573187e-08,1.9321367526656644e-08
-125.625,-3.2896999466061525e-08,-3.034523849041801e-08,1.9335023488335357e-08
-126.125,-3.240585713456357e-08,-3.087480292738832e-08,1.9348702473392653e-08
-126.625,-3.149112441036595e-08,-3.0620014503612673e-08,1.9362404453666954e-08
-127.125,-3.127734239228674e-08,-3.133268467719311e-08,1.9376129401005656e-08
